Workload,Algorithm,r,Mean (Std),IQR
corona,FEMOSAA,3.0,0.954 (0.044),0.05
corona,SEED-EA,1.0,0.91 (0.019),0.01
corona,DSOGA,3.0,0.912 (0.017),0.02
corona,LiDOS,3.0,0.915 (0.023),0.02
corona,DLiSA,3.0,0.911 (0.019),0.02
corona,DLiSA-B4,2.0,0.911 (0.022),0.01
cranium,FEMOSAA,2.0,1.384 (0.032),0.04
cranium,SEED-EA,2.0,1.344 (0.025),0.01
cranium,DSOGA,2.0,1.345 (0.025),0.02
cranium,LiDOS,2.0,1.347 (0.029),0.02
cranium,DLiSA,2.0,1.345 (0.025),0.02
cranium,DLiSA-B4,1.0,1.343 (0.029),0.01
cubus,FEMOSAA,2.0,4.335 (0.17),0.105
cubus,SEED-EA,1.0,4.208 (0.071),0.04
cubus,DSOGA,2.0,4.211 (0.065),0.04
cubus,LiDOS,2.0,4.208 (0.077),0.03
cubus,DLiSA,2.0,4.211 (0.066),0.04
cubus,DLiSA-B4,2.0,4.21 (0.066),0.04
flame,FEMOSAA,2.0,1.233 (0.031),0.02
flame,SEED-EA,1.0,1.198 (0.025),0.04
flame,DSOGA,2.0,1.202 (0.024),0.04
flame,LiDOS,2.0,1.199 (0.025),0.04
flame,DLiSA,2.0,1.2 (0.022),0.04
flame,DLiSA-B4,2.0,1.2 (0.027),0.04
france,FEMOSAA,3.0,2.508 (0.068),0.09
france,SEED-EA,2.0,2.408 (0.038),0.02
france,DSOGA,3.0,2.415 (0.045),0.03
france,LiDOS,1.0,2.405 (0.03),0.02
france,DLiSA,3.0,2.411 (0.032),0.02
france,DLiSA-B4,2.0,2.406 (0.027),0.02
frisco,FEMOSAA,2.0,3.312 (0.133),0.155
frisco,SEED-EA,1.0,3.166 (0.065),0.05
frisco,DSOGA,2.0,3.169 (0.078),0.05
frisco,LiDOS,2.0,3.174 (0.069),0.05
frisco,DLiSA,2.0,3.179 (0.097),0.05
frisco,DLiSA-B4,2.0,3.177 (0.086),0.05
jelly,FEMOSAA,3.0,1.17 (0.03),0.04
jelly,SEED-EA,2.0,1.138 (0.015),0.01
jelly,DSOGA,3.0,1.14 (0.016),0.01
jelly,LiDOS,2.0,1.139 (0.02),0.01
jelly,DLiSA,2.0,1.139 (0.017),0.01
jelly,DLiSA-B4,1.0,1.137 (0.012),0.01
karte,FEMOSAA,3.0,7.25 (0.259),0.15
karte,SEED-EA,2.0,7.081 (0.089),0.02
karte,DSOGA,2.0,7.079 (0.059),0.07
karte,LiDOS,3.0,7.096 (0.125),0.07
karte,DLiSA,3.0,7.086 (0.155),0.06
karte,DLiSA-B4,1.0,7.076 (0.057),0.02
mandelbrot,FEMOSAA,2.0,1.078 (0.018),0.02
mandelbrot,SEED-EA,2.0,1.05 (0.014),0.01
mandelbrot,DSOGA,2.0,1.051 (0.016),0.01
mandelbrot,LiDOS,2.0,1.052 (0.014),0.02
mandelbrot,DLiSA,2.0,1.051 (0.015),0.01
mandelbrot,DLiSA-B4,1.0,1.05 (0.012),0.01
strawberry,FEMOSAA,2.0,1.157 (0.041),0.05
strawberry,SEED-EA,2.0,1.119 (0.021),0.002
strawberry,DSOGA,2.0,1.121 (0.025),0.01
strawberry,LiDOS,1.0,1.118 (0.018),0.01
strawberry,DLiSA,2.0,1.119 (0.023),0.01
strawberry,DLiSA-B4,2.0,1.12 (0.024),0.01
village,FEMOSAA,2.0,1.703 (0.062),0.035
village,SEED-EA,2.0,1.627 (0.03),0.012
village,DSOGA,2.0,1.629 (0.031),0.02
village,LiDOS,2.0,1.631 (0.051),0.01
village,DLiSA,2.0,1.63 (0.036),0.02
village,DLiSA-B4,1.0,1.626 (0.03),0.01
