Workload,Algorithm,r,Mean (Std),IQR
ambivert,FEMOSAA,4.0,2.116 (1.529),1.782
ambivert,SEED-EA,2.0,1.718 (1.196),1.680
ambivert,DSOGA,3.0,1.775 (1.225),1.535
ambivert,LiDOS,2.0,1.446 (0.937),0.982
ambivert,OpperTune,4.0,1.917 (1.364),1.620
ambivert,DLiSA,2.0,1.100 (0.742),0.685
ambivert,DLiSA-B4,1.0,1.058 (0.732),0.555
artificl,FEMOSAA,3.0,0.171 (0.050),0.070
artificl,SEED-EA,2.0,0.153 (0.038),0.050
artificl,DSOGA,2.0,0.151 (0.037),0.040
artificl,LiDOS,2.0,0.152 (0.037),0.043
artificl,OpperTune,3.0,0.169 (0.044),0.062
artificl,DLiSA,1.0,0.138 (0.027),0.030
artificl,DLiSA-B4,1.0,0.136 (0.030),0.020
deepfield,FEMOSAA,3.0,0.344 (0.561),0.093
deepfield,SEED-EA,2.0,0.288 (0.087),0.090
deepfield,DSOGA,2.0,0.297 (0.234),0.110
deepfield,LiDOS,2.0,0.296 (0.160),0.090
deepfield,OpperTune,3.0,0.329 (0.536),0.120
deepfield,DLiSA,1.0,0.264 (0.058),0.070
deepfield,DLiSA-B4,1.0,0.261 (0.062),0.060
enwik8,FEMOSAA,4.0,2.973 (2.087),2.242
enwik8,SEED-EA,3.0,2.044 (1.519),1.632
enwik8,DSOGA,3.0,2.076 (1.392),1.583
enwik8,LiDOS,3.0,2.069 (1.482),1.468
enwik8,OpperTune,4.0,2.536 (1.653),1.810
enwik8,DLiSA,2.0,1.500 (1.213),0.762
enwik8,DLiSA-B4,1.0,1.421 (0.992),0.965
fannie_mae_500k,FEMOSAA,3.0,1.758 (1.215),1.405
fannie_mae_500k,SEED-EA,2.0,1.451 (0.909),1.172
fannie_mae_500k,DSOGA,2.0,1.544 (0.906),1.067
fannie_mae_500k,LiDOS,2.0,1.429 (0.864),0.757
fannie_mae_500k,OpperTune,3.0,1.768 (0.941),1.277
fannie_mae_500k,DLiSA,1.0,1.015 (0.515),0.612
fannie_mae_500k,DLiSA-B4,1.0,1.023 (0.575),0.522
large,FEMOSAA,3.0,0.696 (0.452),0.473
large,SEED-EA,2.0,0.565 (0.364),0.275
large,DSOGA,2.0,0.591 (0.308),0.340
large,LiDOS,2.0,0.564 (0.335),0.330
large,OpperTune,3.0,0.641 (0.364),0.292
large,DLiSA,1.0,0.424 (0.205),0.140
large,DLiSA-B4,1.0,0.416 (0.197),0.182
misc,FEMOSAA,3.0,0.249 (0.098),0.160
misc,SEED-EA,2.0,0.213 (0.087),0.103
misc,DSOGA,2.0,0.225 (0.091),0.120
misc,LiDOS,2.0,0.216 (0.090),0.103
misc,OpperTune,3.0,0.251 (0.101),0.120
misc,DLiSA,1.0,0.186 (0.065),0.060
misc,DLiSA-B4,1.0,0.182 (0.070),0.073
silesia,FEMOSAA,3.0,5.194 (4.191),4.003
silesia,SEED-EA,2.0,4.199 (3.270),3.815
silesia,DSOGA,2.0,3.933 (3.090),2.988
silesia,LiDOS,2.0,3.902 (2.660),3.363
silesia,OpperTune,3.0,5.034 (3.826),3.895
silesia,DLiSA,1.0,2.496 (1.421),1.270
silesia,DLiSA-B4,1.0,2.660 (1.808),1.672
vmlinux,FEMOSAA,3.0,1.221 (0.739),0.943
vmlinux,SEED-EA,2.0,1.048 (0.757),0.765
vmlinux,DSOGA,2.0,1.076 (0.718),0.885
vmlinux,LiDOS,2.0,1.037 (0.720),0.703
vmlinux,OpperTune,3.0,1.186 (0.727),0.843
vmlinux,DLiSA,1.0,0.793 (0.552),0.393
vmlinux,DLiSA-B4,1.0,0.747 (0.528),0.445
