Workload,Algorithm,r,Mean (Std),IQR
smallbank-1,FEMOSAA,4.0,25608.791 (1359.720),1003.587
smallbank-1,SEED-EA,3.0,26248.128 (1325.579),1056.182
smallbank-1,DSOGA,2.0,26528.584 (779.511),872.700
smallbank-1,LiDOS,3.0,26234.990 (1327.767),1078.786
smallbank-1,OpperTune,4.0,25408.701 (1357.860),913.974
smallbank-1,DLiSA,2.0,26483.527 (722.530),693.851
smallbank-1,DLiSA-B4,1.0,26662.644 (867.713),644.040
smallbank-10,FEMOSAA,4.0,18251.692 (800.657),923.941
smallbank-10,SEED-EA,3.0,18710.531 (1070.613),568.910
smallbank-10,DSOGA,2.0,18876.702 (556.739),589.372
smallbank-10,LiDOS,3.0,18796.049 (957.574),583.970
smallbank-10,OpperTune,5.0,17945.918 (1118.448),1002.272
smallbank-10,DLiSA,2.0,18939.923 (490.457),463.026
smallbank-10,DLiSA-B4,1.0,19034.127 (435.863),250.439
tpcc-2,FEMOSAA,4.0,897.101 (49.837),52.889
tpcc-2,SEED-EA,3.0,939.970 (50.387),52.655
tpcc-2,DSOGA,3.0,936.603 (44.000),51.931
tpcc-2,LiDOS,3.0,938.683 (50.984),54.780
tpcc-2,OpperTune,5.0,885.133 (43.337),47.812
tpcc-2,DLiSA,2.0,946.680 (33.966),47.608
tpcc-2,DLiSA-B4,1.0,957.399 (32.125),31.212
tpcc-8,FEMOSAA,3.0,959.086 (107.090),100.064
tpcc-8,SEED-EA,2.0,1018.620 (71.255),43.327
tpcc-8,DSOGA,2.0,1013.965 (72.300),42.435
tpcc-8,LiDOS,2.0,1021.381 (66.431),42.866
tpcc-8,OpperTune,3.0,948.596 (89.864),104.273
tpcc-8,DLiSA,2.0,1024.527 (63.707),38.330
tpcc-8,DLiSA-B4,1.0,1034.930 (44.399),33.186
voter-16,FEMOSAA,2.0,46966.780 (2877.478),622.526
voter-16,SEED-EA,2.0,47222.553 (3689.261),383.417
voter-16,DSOGA,1.0,47797.179 (2375.094),589.341
voter-16,LiDOS,2.0,47248.964 (3714.843),502.708
voter-16,OpperTune,2.0,46633.486 (3092.683),897.750
voter-16,DLiSA,1.0,48047.627 (1804.336),823.287
voter-16,DLiSA-B4,1.0,48038.357 (1777.191),414.933
voter-2,FEMOSAA,3.0,46925.972 (3524.878),1018.364
voter-2,SEED-EA,3.0,46894.386 (4622.825),750.530
voter-2,DSOGA,2.0,47749.395 (2792.947),702.550
voter-2,LiDOS,3.0,46932.750 (4568.392),594.259
voter-2,OpperTune,3.0,46347.055 (3693.321),814.642
voter-2,DLiSA,1.0,48256.486 (565.903),558.208
voter-2,DLiSA-B4,1.0,48124.373 (1668.305),434.808
ycsb-2400,FEMOSAA,3.0,18547.402 (1830.304),2929.004
ycsb-2400,SEED-EA,2.0,19814.514 (1685.407),1395.612
ycsb-2400,DSOGA,1.0,20030.592 (1361.750),1230.384
ycsb-2400,LiDOS,2.0,19770.994 (1648.316),1348.962
ycsb-2400,OpperTune,4.0,18079.107 (1948.908),3612.792
ycsb-2400,DLiSA,1.0,20042.700 (1246.581),1304.557
ycsb-2400,DLiSA-B4,1.0,20240.624 (1136.047),1140.443
ycsb-600,FEMOSAA,3.0,26630.520 (1791.434),2263.657
ycsb-600,SEED-EA,2.0,28025.736 (1980.259),1832.046
ycsb-600,DSOGA,2.0,28026.804 (1696.081),1956.241
ycsb-600,LiDOS,2.0,28024.086 (1784.635),2198.343
ycsb-600,OpperTune,4.0,25747.095 (1885.651),3222.943
ycsb-600,DLiSA,1.0,28255.626 (1552.404),1620.088
ycsb-600,DLiSA-B4,1.0,28465.721 (1323.321),1131.551
