Workload,Algorithm,r,Mean (Std),IQR
jpeg-large,FEMOSAA,3.0,1.955 (0.153),0.26
jpeg-large,SEED-EA,3.0,1.86 (0.137),0.04
jpeg-large,DSOGA,2.0,1.842 (0.098),0.032
jpeg-large,LiDOS,3.0,1.852 (0.12),0.042
jpeg-large,DLiSA,2.0,1.839 (0.117),0.03
jpeg-large,DLiSA-B4,1.0,1.825 (0.086),0.02
jpeg-medium,FEMOSAA,3.0,1.204 (0.08),0.095
jpeg-medium,SEED-EA,2.0,1.122 (0.055),0.072
jpeg-medium,DSOGA,2.0,1.118 (0.055),0.05
jpeg-medium,LiDOS,2.0,1.119 (0.054),0.052
jpeg-medium,DLiSA,2.0,1.118 (0.047),0.04
jpeg-medium,DLiSA-B4,1.0,1.103 (0.041),0.05
jpeg-small,FEMOSAA,3.0,0.385 (0.009),0.01
jpeg-small,SEED-EA,2.0,0.374 (0.01),0.01
jpeg-small,DSOGA,3.0,0.375 (0.009),0.01
jpeg-small,LiDOS,3.0,0.375 (0.01),0.01
jpeg-small,DLiSA,2.0,0.374 (0.01),0.01
jpeg-small,DLiSA-B4,1.0,0.373 (0.009),0.01
png-large,FEMOSAA,3.0,1.677 (0.097),0.16
png-large,SEED-EA,3.0,1.612 (0.069),0.032
png-large,DSOGA,2.0,1.601 (0.053),0.03
png-large,LiDOS,2.0,1.603 (0.065),0.03
png-large,DLiSA,2.0,1.594 (0.047),0.02
png-large,DLiSA-B4,1.0,1.591 (0.054),0.02
png-medium,FEMOSAA,2.0,0.526 (0.026),0.03
png-medium,SEED-EA,2.0,0.501 (0.017),0.02
png-medium,DSOGA,2.0,0.503 (0.019),0.02
png-medium,LiDOS,2.0,0.503 (0.02),0.02
png-medium,DLiSA,2.0,0.501 (0.017),0.02
png-medium,DLiSA-B4,1.0,0.5 (0.015),0.02
png-small,FEMOSAA,3.0,0.394 (0.014),0.013
png-small,SEED-EA,2.0,0.382 (0.01),0.01
png-small,DSOGA,2.0,0.382 (0.012),0.01
png-small,LiDOS,2.0,0.382 (0.011),0.01
png-small,DLiSA,2.0,0.383 (0.01),0.01
png-small,DLiSA-B4,1.0,0.379 (0.011),0.01
psd-large,FEMOSAA,3.0,17.7 (3.321),0.155
psd-large,SEED-EA,3.0,17.516 (2.868),0.083
psd-large,DSOGA,2.0,17.068 (2.622),0.06
psd-large,LiDOS,2.0,17.061 (2.391),0.062
psd-large,DLiSA,1.0,16.744 (1.953),0.05
psd-large,DLiSA-B4,1.0,16.6 (1.674),0.05
psd-medium,FEMOSAA,3.0,1.064 (0.039),0.07
psd-medium,SEED-EA,2.0,1.035 (0.03),0.05
psd-medium,DSOGA,2.0,1.034 (0.025),0.02
psd-medium,LiDOS,2.0,1.033 (0.027),0.02
psd-medium,DLiSA,2.0,1.032 (0.028),0.022
psd-medium,DLiSA-B4,1.0,1.027 (0.025),0.03
psd-small,FEMOSAA,3.0,0.495 (0.016),0.03
psd-small,SEED-EA,1.0,0.475 (0.014),0.02
psd-small,DSOGA,3.0,0.478 (0.014),0.02
psd-small,LiDOS,2.0,0.476 (0.015),0.02
psd-small,DLiSA,3.0,0.479 (0.014),0.02
psd-small,DLiSA-B4,2.0,0.475 (0.014),0.02
svg-large,FEMOSAA,2.0,1.439 (0.01),0.02
svg-large,SEED-EA,1.0,1.432 (0.008),0.01
svg-large,DSOGA,2.0,1.434 (0.009),0.01
svg-large,LiDOS,2.0,1.434 (0.008),0.01
svg-large,DLiSA,2.0,1.434 (0.008),0.01
svg-large,DLiSA-B4,2.0,1.433 (0.009),0.01
svg-medium,FEMOSAA,3.0,1.462 (0.02),0.022
svg-medium,SEED-EA,3.0,1.445 (0.016),0.02
svg-medium,DSOGA,1.0,1.443 (0.019),0.03
svg-medium,LiDOS,3.0,1.448 (0.018),0.02
svg-medium,DLiSA,3.0,1.445 (0.016),0.01
svg-medium,DLiSA-B4,2.0,1.443 (0.018),0.01
svg-small,FEMOSAA,3.0,0.495 (0.009),0.01
svg-small,SEED-EA,2.0,0.49 (0.007),0.0
svg-small,DSOGA,2.0,0.492 (0.008),0.01
svg-small,LiDOS,2.0,0.491 (0.008),0.003
svg-small,DLiSA,2.0,0.491 (0.008),0.01
svg-small,DLiSA-B4,1.0,0.489 (0.007),0.01
