Workload,Algorithm,r,Mean (Std),IQR
ambivert.wav.tar,FEMOSAA,1.0,4.638 (1.387),2.870
ambivert.wav.tar,SEED-EA,3.0,4.847 (1.403),2.857
ambivert.wav.tar,DSOGA,2.0,4.646 (1.395),2.777
ambivert.wav.tar,LiDOS,2.0,4.789 (1.405),2.843
ambivert.wav.tar,OpperTune,4.0,4.946 (1.449),2.975
ambivert.wav.tar,DLiSA,1.0,4.040 (1.074),0.872
ambivert.wav.tar,DLiSA-B4,1.0,3.838 (0.907),0.225
artificl.tar,FEMOSAA,3.0,0.015 (0.005),0.010
artificl.tar,SEED-EA,2.0,0.014 (0.005),0.010
artificl.tar,DSOGA,2.0,0.014 (0.005),0.010
artificl.tar,LiDOS,2.0,0.014 (0.005),0.010
artificl.tar,OpperTune,3.0,0.015 (0.005),0.010
artificl.tar,DLiSA,2.0,0.012 (0.004),0.000
artificl.tar,DLiSA-B4,1.0,0.012 (0.004),0.000
deepfield.tar,FEMOSAA,1.0,4.426 (1.233),2.552
deepfield.tar,SEED-EA,1.0,4.776 (1.409),2.920
deepfield.tar,DSOGA,3.0,4.992 (1.412),2.898
deepfield.tar,LiDOS,2.0,4.784 (1.398),2.845
deepfield.tar,OpperTune,3.0,4.843 (1.412),2.873
deepfield.tar,DLiSA,1.0,3.945 (0.992),0.855
deepfield.tar,DLiSA-B4,1.0,3.838 (0.991),0.210
enwik8.tar,FEMOSAA,1.0,13.872 (4.300),5.750
enwik8.tar,SEED-EA,2.0,14.077 (4.045),5.672
enwik8.tar,DSOGA,1.0,13.945 (3.885),5.473
enwik8.tar,LiDOS,1.0,14.026 (4.171),5.570
enwik8.tar,OpperTune,2.0,14.105 (4.863),5.812
enwik8.tar,DLiSA,1.0,11.829 (3.261),3.230
enwik8.tar,DLiSA-B4,1.0,11.190 (3.224),3.950
fannie_mae_500k.tar,FEMOSAA,1.0,14.319 (4.177),7.728
fannie_mae_500k.tar,SEED-EA,1.0,14.230 (4.133),7.785
fannie_mae_500k.tar,DSOGA,2.0,14.781 (4.116),7.943
fannie_mae_500k.tar,LiDOS,1.0,14.246 (4.229),7.800
fannie_mae_500k.tar,OpperTune,2.0,15.000 (4.221),8.143
fannie_mae_500k.tar,DLiSA,1.0,11.753 (3.550),4.900
fannie_mae_500k.tar,DLiSA-B4,1.0,11.379 (3.301),2.035
large.tar,FEMOSAA,3.0,2.150 (0.611),0.695
large.tar,SEED-EA,2.0,2.106 (0.575),0.680
large.tar,DSOGA,1.0,2.039 (0.439),0.670
large.tar,LiDOS,3.0,2.129 (0.617),0.698
large.tar,OpperTune,1.0,2.104 (0.675),0.693
large.tar,DLiSA,1.0,1.770 (0.443),0.650
large.tar,DLiSA-B4,1.0,1.695 (0.447),0.740
misc.tar,FEMOSAA,2.0,0.214 (0.022),0.030
misc.tar,SEED-EA,1.0,0.210 (0.019),0.020
misc.tar,DSOGA,2.0,0.213 (0.022),0.030
misc.tar,LiDOS,1.0,0.210 (0.018),0.020
misc.tar,OpperTune,1.0,0.213 (0.026),0.030
misc.tar,DLiSA,1.0,0.200 (0.015),0.020
misc.tar,DLiSA-B4,1.0,0.202 (0.015),0.020
silesia.tar,FEMOSAA,1.0,30.374 (9.518),14.855
silesia.tar,SEED-EA,1.0,30.235 (8.796),15.835
silesia.tar,DSOGA,2.0,30.827 (8.069),14.102
silesia.tar,LiDOS,1.0,29.946 (8.816),15.780
silesia.tar,OpperTune,2.0,30.965 (9.274),15.280
silesia.tar,DLiSA,1.0,24.765 (6.507),6.112
silesia.tar,DLiSA-B4,1.0,23.786 (5.863),5.088
uiq-32.bin,FEMOSAA,1.0,24.201 (7.305),13.555
uiq-32.bin,SEED-EA,4.0,27.959 (7.822),10.902
uiq-32.bin,DSOGA,1.0,26.740 (8.137),11.747
uiq-32.bin,LiDOS,3.0,27.768 (8.206),10.468
uiq-32.bin,OpperTune,2.0,27.300 (8.647),11.742
uiq-32.bin,DLiSA,1.0,22.530 (4.884),3.470
uiq-32.bin,DLiSA-B4,1.0,21.507 (4.838),6.482
uiq2-16.bin,FEMOSAA,1.0,13.611 (3.838),5.750
uiq2-16.bin,SEED-EA,1.0,13.708 (3.948),5.940
uiq2-16.bin,DSOGA,1.0,13.776 (3.846),5.395
uiq2-16.bin,LiDOS,2.0,13.906 (4.052),5.882
uiq2-16.bin,OpperTune,2.0,13.900 (4.308),5.947
uiq2-16.bin,DLiSA,1.0,11.385 (2.611),2.405
uiq2-16.bin,DLiSA-B4,1.0,10.862 (2.651),3.218
uiq2-4.bin,FEMOSAA,1.0,3.381 (1.072),1.255
uiq2-4.bin,SEED-EA,1.0,3.464 (0.946),1.235
uiq2-4.bin,DSOGA,2.0,3.498 (0.939),1.210
uiq2-4.bin,LiDOS,2.0,3.511 (0.999),1.195
uiq2-4.bin,OpperTune,1.0,3.434 (1.088),1.365
uiq2-4.bin,DLiSA,1.0,2.885 (0.631),0.340
uiq2-4.bin,DLiSA-B4,1.0,2.760 (0.642),0.740
uiq2-8.bin,FEMOSAA,1.0,6.656 (2.066),2.822
uiq2-8.bin,SEED-EA,2.0,6.879 (2.004),2.930
uiq2-8.bin,DSOGA,1.0,6.809 (2.104),2.883
uiq2-8.bin,LiDOS,2.0,6.954 (2.064),2.882
uiq2-8.bin,OpperTune,1.0,6.876 (2.253),2.933
uiq2-8.bin,DLiSA,1.0,5.500 (1.202),0.942
uiq2-8.bin,DLiSA-B4,1.0,5.307 (1.311),1.425
vmlinux-5.10.tar,FEMOSAA,2.0,3.584 (0.981),2.045
vmlinux-5.10.tar,SEED-EA,2.0,3.667 (1.021),2.132
vmlinux-5.10.tar,DSOGA,4.0,3.800 (1.027),2.050
vmlinux-5.10.tar,LiDOS,2.0,3.684 (1.033),2.135
vmlinux-5.10.tar,OpperTune,3.0,3.750 (1.042),2.103
vmlinux-5.10.tar,DLiSA,1.0,3.071 (0.802),0.567
vmlinux-5.10.tar,DLiSA-B4,1.0,2.894 (0.679),0.417
