Workload,Algorithm,r,Mean (Std),IQR
Johnny_1280x720_60_short.y4m,FEMOSAA,3.0,1.053 (0.266),0.36
Johnny_1280x720_60_short.y4m,SEED-EA,2.0,0.942 (0.17),0.25
Johnny_1280x720_60_short.y4m,DSOGA,3.0,1.048 (0.771),0.28
Johnny_1280x720_60_short.y4m,LiDOS,2.0,0.96 (0.201),0.242
Johnny_1280x720_60_short.y4m,DLiSA,1.0,0.882 (0.122),0.2
Johnny_1280x720_60_short.y4m,DLiSA-B4,1.0,0.881 (0.131),0.185
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,FEMOSAA,3.0,3.947 (0.853),1.085
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,SEED-EA,2.0,3.7 (0.62),1.07
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,DSOGA,2.0,3.82 (0.963),1.06
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,LiDOS,3.0,3.826 (0.719),1.1
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,DLiSA,1.0,3.458 (0.45),0.587
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,DLiSA-B4,2.0,3.485 (0.506),0.663
blue_sky_1080p25_short.y4m,FEMOSAA,3.0,1.497 (0.42),0.37
blue_sky_1080p25_short.y4m,SEED-EA,2.0,1.352 (0.259),0.395
blue_sky_1080p25_short.y4m,DSOGA,3.0,1.385 (0.278),0.4
blue_sky_1080p25_short.y4m,LiDOS,2.0,1.365 (0.265),0.385
blue_sky_1080p25_short.y4m,DLiSA,1.0,1.269 (0.196),0.243
blue_sky_1080p25_short.y4m,DLiSA-B4,2.0,1.285 (0.234),0.245
pedestrian_area_1080p25_short.y4m,FEMOSAA,3.0,1.735 (0.447),0.458
pedestrian_area_1080p25_short.y4m,SEED-EA,2.0,1.65 (0.289),0.51
pedestrian_area_1080p25_short.y4m,DSOGA,2.0,1.663 (0.385),0.49
pedestrian_area_1080p25_short.y4m,LiDOS,3.0,1.695 (0.363),0.472
pedestrian_area_1080p25_short.y4m,DLiSA,1.0,1.545 (0.257),0.215
pedestrian_area_1080p25_short.y4m,DLiSA-B4,1.0,1.571 (0.283),0.268
riverbed_1080p25_short.y4m,FEMOSAA,3.0,3.626 (0.876),1.035
riverbed_1080p25_short.y4m,SEED-EA,2.0,3.379 (0.561),0.967
riverbed_1080p25_short.y4m,DSOGA,3.0,3.611 (0.907),1.032
riverbed_1080p25_short.y4m,LiDOS,2.0,3.419 (0.616),0.895
riverbed_1080p25_short.y4m,DLiSA,1.0,3.156 (0.404),0.42
riverbed_1080p25_short.y4m,DLiSA-B4,1.0,3.162 (0.427),0.442
sd_bridge_close_cif_short.y4m,FEMOSAA,3.0,0.111 (0.02),0.02
sd_bridge_close_cif_short.y4m,SEED-EA,2.0,0.104 (0.014),0.01
sd_bridge_close_cif_short.y4m,DSOGA,3.0,0.106 (0.015),0.01
sd_bridge_close_cif_short.y4m,LiDOS,2.0,0.105 (0.014),0.01
sd_bridge_close_cif_short.y4m,DLiSA,2.0,0.099 (0.012),0.02
sd_bridge_close_cif_short.y4m,DLiSA-B4,1.0,0.098 (0.012),0.02
sd_city_4cif_short.y4m,FEMOSAA,4.0,0.722 (0.478),0.26
sd_city_4cif_short.y4m,SEED-EA,2.0,0.593 (0.117),0.16
sd_city_4cif_short.y4m,DSOGA,4.0,0.622 (0.145),0.23
sd_city_4cif_short.y4m,LiDOS,3.0,0.61 (0.139),0.182
sd_city_4cif_short.y4m,DLiSA,1.0,0.559 (0.098),0.11
sd_city_4cif_short.y4m,DLiSA-B4,2.0,0.563 (0.108),0.11
sd_crew_cif_short.y4m,FEMOSAA,4.0,0.15 (0.031),0.032
sd_crew_cif_short.y4m,SEED-EA,2.0,0.138 (0.018),0.02
sd_crew_cif_short.y4m,DSOGA,4.0,0.143 (0.031),0.02
sd_crew_cif_short.y4m,LiDOS,3.0,0.14 (0.023),0.02
sd_crew_cif_short.y4m,DLiSA,2.0,0.132 (0.018),0.01
sd_crew_cif_short.y4m,DLiSA-B4,1.0,0.131 (0.017),0.01
sintel_trailer_2k_720p24_short.y4m,FEMOSAA,3.0,0.263 (0.049),0.06
sintel_trailer_2k_720p24_short.y4m,SEED-EA,2.0,0.246 (0.035),0.02
sintel_trailer_2k_720p24_short.y4m,DSOGA,3.0,0.255 (0.042),0.03
sintel_trailer_2k_720p24_short.y4m,LiDOS,2.0,0.249 (0.035),0.03
sintel_trailer_2k_720p24_short.y4m,DLiSA,1.0,0.236 (0.027),0.022
sintel_trailer_2k_720p24_short.y4m,DLiSA-B4,1.0,0.235 (0.028),0.02
