Workload,Algorithm,r,Mean (Std),IQR
beethoven.wav,FEMOSAA,4.0,3.209 (1.026),1.125
beethoven.wav,SEED-EA,3.0,2.813 (0.795),0.760
beethoven.wav,DSOGA,3.0,2.906 (0.865),1.143
beethoven.wav,LiDOS,3.0,2.816 (0.725),0.918
beethoven.wav,OpperTune,5.0,3.798 (1.449),1.993
beethoven.wav,DLiSA,2.0,2.645 (0.675),0.585
beethoven.wav,DLiSA-B4,1.0,2.506 (0.552),0.342
dual-channel.wav,FEMOSAA,5.0,1.053 (0.306),0.365
dual-channel.wav,SEED-EA,3.0,0.902 (0.234),0.350
dual-channel.wav,DSOGA,5.0,0.966 (0.261),0.380
dual-channel.wav,LiDOS,4.0,0.940 (0.239),0.308
dual-channel.wav,OpperTune,5.0,1.238 (0.387),0.480
dual-channel.wav,DLiSA,2.0,0.885 (0.218),0.312
dual-channel.wav,DLiSA-B4,1.0,0.856 (0.241),0.240
helix.wav,FEMOSAA,5.0,1.723 (0.539),0.752
helix.wav,SEED-EA,4.0,1.450 (0.418),0.602
helix.wav,DSOGA,4.0,1.535 (0.488),0.640
helix.wav,LiDOS,3.0,1.438 (0.395),0.475
helix.wav,OpperTune,5.0,1.959 (0.703),0.925
helix.wav,DLiSA,2.0,1.339 (0.371),0.452
helix.wav,DLiSA-B4,1.0,1.279 (0.398),0.400
single-channel.wav,FEMOSAA,4.0,0.792 (0.180),0.233
single-channel.wav,SEED-EA,3.0,0.708 (0.132),0.142
single-channel.wav,DSOGA,3.0,0.703 (0.149),0.153
single-channel.wav,LiDOS,3.0,0.713 (0.138),0.213
single-channel.wav,OpperTune,4.0,0.871 (0.227),0.280
single-channel.wav,DLiSA,2.0,0.674 (0.104),0.100
single-channel.wav,DLiSA-B4,1.0,0.665 (0.104),0.102
speech.wav,FEMOSAA,4.0,1.482 (0.539),0.685
speech.wav,SEED-EA,3.0,1.230 (0.393),0.330
speech.wav,DSOGA,3.0,1.321 (0.528),0.458
speech.wav,LiDOS,3.0,1.254 (0.428),0.485
speech.wav,OpperTune,4.0,1.764 (0.770),1.083
speech.wav,DLiSA,2.0,1.138 (0.342),0.150
speech.wav,DLiSA-B4,1.0,1.125 (0.329),0.160
sweep.wav,FEMOSAA,4.0,0.332 (0.036),0.040
sweep.wav,SEED-EA,3.0,0.315 (0.035),0.040
sweep.wav,DSOGA,3.0,0.319 (0.038),0.043
sweep.wav,LiDOS,3.0,0.314 (0.032),0.033
sweep.wav,OpperTune,4.0,0.349 (0.049),0.060
sweep.wav,DLiSA,1.0,0.308 (0.026),0.020
sweep.wav,DLiSA-B4,2.0,0.308 (0.030),0.030
