Workload,Algorithm,r,Mean (Std),IQR
ambivert.wav.tar,FEMOSAA,2.0,3.206 (0.126),0.06
ambivert.wav.tar,SEED-EA,1.0,3.134 (0.043),0.01
ambivert.wav.tar,DSOGA,2.0,3.142 (0.055),0.01
ambivert.wav.tar,LiDOS,2.0,3.137 (0.04),0.01
ambivert.wav.tar,DLiSA,2.0,3.139 (0.041),0.01
ambivert.wav.tar,DLiSA-B4,2.0,3.136 (0.039),0.01
artificl.tar,FEMOSAA,1.0,0.031 (0.003),0.0
artificl.tar,SEED-EA,1.0,0.03 (0.002),0.0
artificl.tar,DSOGA,1.0,0.03 (0.001),0.0
artificl.tar,LiDOS,1.0,0.03 (0.0),0.0
artificl.tar,DLiSA,1.0,0.03 (0.001),0.0
artificl.tar,DLiSA-B4,1.0,0.03 (0.0),0.0
deepfield.tar,FEMOSAA,3.0,3.33 (0.035),0.062
deepfield.tar,SEED-EA,1.0,3.307 (0.018),0.01
deepfield.tar,DSOGA,3.0,3.315 (0.027),0.01
deepfield.tar,LiDOS,3.0,3.311 (0.024),0.01
deepfield.tar,DLiSA,2.0,3.307 (0.017),0.01
deepfield.tar,DLiSA-B4,3.0,3.31 (0.021),0.01
enwik8.tar,FEMOSAA,3.0,7.255 (0.209),0.06
enwik8.tar,SEED-EA,3.0,7.158 (0.047),0.0
enwik8.tar,DSOGA,3.0,7.158 (0.046),0.0
enwik8.tar,LiDOS,3.0,7.182 (0.103),0.0
enwik8.tar,DLiSA,2.0,7.157 (0.037),0.0
enwik8.tar,DLiSA-B4,1.0,7.152 (0.037),0.0
fannie_mae_500k.tar,FEMOSAA,3.0,33.612 (0.412),0.09
fannie_mae_500k.tar,SEED-EA,2.0,33.459 (0.253),0.0
fannie_mae_500k.tar,DSOGA,2.0,33.454 (0.233),0.03
fannie_mae_500k.tar,LiDOS,2.0,33.446 (0.21),0.03
fannie_mae_500k.tar,DLiSA,1.0,33.422 (0.152),0.0
fannie_mae_500k.tar,DLiSA-B4,3.0,33.484 (0.291),0.03
large.tar,FEMOSAA,2.0,0.979 (0.011),0.02
large.tar,SEED-EA,1.0,0.972 (0.006),0.0
large.tar,DSOGA,2.0,0.973 (0.007),0.0
large.tar,LiDOS,2.0,0.972 (0.007),0.0
large.tar,DLiSA,2.0,0.973 (0.006),0.0
large.tar,DLiSA-B4,2.0,0.972 (0.005),0.0
misc.tar,FEMOSAA,3.0,0.199 (0.005),0.0
misc.tar,SEED-EA,1.0,0.193 (0.004),0.01
misc.tar,DSOGA,2.0,0.194 (0.005),0.01
misc.tar,LiDOS,2.0,0.193 (0.005),0.01
misc.tar,DLiSA,2.0,0.194 (0.005),0.01
misc.tar,DLiSA-B4,2.0,0.194 (0.005),0.01
silesia.tar,FEMOSAA,3.0,10.964 (0.104),0.06
silesia.tar,SEED-EA,2.0,10.916 (0.029),0.02
silesia.tar,DSOGA,3.0,10.918 (0.044),0.01
silesia.tar,LiDOS,2.0,10.917 (0.031),0.02
silesia.tar,DLiSA,2.0,10.913 (0.032),0.01
silesia.tar,DLiSA-B4,1.0,10.908 (0.02),0.0
uiq-32.bin,FEMOSAA,3.0,9.512 (0.484),0.72
uiq-32.bin,SEED-EA,3.0,9.216 (0.332),0.48
uiq-32.bin,DSOGA,1.0,9.163 (0.375),0.48
uiq-32.bin,LiDOS,3.0,9.313 (0.314),0.0
uiq-32.bin,DLiSA,3.0,9.19 (0.327),0.48
uiq-32.bin,DLiSA-B4,2.0,9.175 (0.35),0.48
uiq2-16.bin,FEMOSAA,3.0,5.626 (0.392),0.8
uiq2-16.bin,SEED-EA,1.0,5.351 (0.215),0.0
uiq2-16.bin,DSOGA,3.0,5.448 (0.308),0.13
uiq2-16.bin,LiDOS,3.0,5.44 (0.311),0.08
uiq2-16.bin,DLiSA,2.0,5.356 (0.215),0.02
uiq2-16.bin,DLiSA-B4,2.0,5.38 (0.247),0.02
uiq2-4.bin,FEMOSAA,3.0,2.139 (0.051),0.09
uiq2-4.bin,SEED-EA,1.0,2.089 (0.022),0.01
uiq2-4.bin,DSOGA,3.0,2.095 (0.029),0.01
uiq2-4.bin,LiDOS,2.0,2.09 (0.023),0.01
uiq2-4.bin,DLiSA,3.0,2.092 (0.023),0.01
uiq2-4.bin,DLiSA-B4,3.0,2.091 (0.021),0.01
uiq2-8.bin,FEMOSAA,2.0,3.588 (0.121),0.232
uiq2-8.bin,SEED-EA,2.0,3.499 (0.088),0.01
uiq2-8.bin,DSOGA,1.0,3.493 (0.086),0.01
uiq2-8.bin,LiDOS,2.0,3.501 (0.092),0.01
uiq2-8.bin,DLiSA,2.0,3.505 (0.092),0.01
uiq2-8.bin,DLiSA-B4,2.0,3.508 (0.095),0.01
vmlinux-5.10.tar,FEMOSAA,3.0,2.553 (0.025),0.06
vmlinux-5.10.tar,SEED-EA,1.0,2.528 (0.018),0.0
vmlinux-5.10.tar,DSOGA,2.0,2.53 (0.016),0.02
vmlinux-5.10.tar,LiDOS,3.0,2.532 (0.02),0.02
vmlinux-5.10.tar,DLiSA,3.0,2.533 (0.02),0.02
vmlinux-5.10.tar,DLiSA-B4,2.0,2.529 (0.018),0.0
