Workload,Algorithm,r,Mean (Std),IQR
AUFNIRA_z3.637557.smt2,FEMOSAA,1.0,5.874 (0.124),0.020
AUFNIRA_z3.637557.smt2,SEED-EA,1.0,5.951 (0.952),0.010
AUFNIRA_z3.637557.smt2,DSOGA,1.0,5.870 (0.126),0.013
AUFNIRA_z3.637557.smt2,LiDOS,1.0,5.855 (0.012),0.010
AUFNIRA_z3.637557.smt2,OpperTune,1.0,5.902 (0.169),0.030
AUFNIRA_z3.637557.smt2,DLiSA,1.0,5.870 (0.120),0.020
AUFNIRA_z3.637557.smt2,DLiSA-B4,1.0,5.856 (0.011),0.010
LRA_formula_277.smt2,FEMOSAA,1.0,1.760 (0.002),0.000
LRA_formula_277.smt2,SEED-EA,4.0,1.904 (0.327),0.000
LRA_formula_277.smt2,DSOGA,2.0,1.816 (0.211),0.000
LRA_formula_277.smt2,LiDOS,3.0,1.878 (0.298),0.000
LRA_formula_277.smt2,OpperTune,2.0,1.762 (0.007),0.000
LRA_formula_277.smt2,DLiSA,3.0,1.839 (0.312),0.000
LRA_formula_277.smt2,DLiSA-B4,5.0,2.004 (0.476),0.022
QF_AUFBV_891_sqlite3.smt2,FEMOSAA,3.0,0.647 (1.002),0.040
QF_AUFBV_891_sqlite3.smt2,SEED-EA,3.0,0.346 (0.637),0.040
QF_AUFBV_891_sqlite3.smt2,DSOGA,2.0,0.330 (0.621),0.040
QF_AUFBV_891_sqlite3.smt2,LiDOS,3.0,0.392 (0.698),0.040
QF_AUFBV_891_sqlite3.smt2,OpperTune,3.0,1.223 (1.345),1.930
QF_AUFBV_891_sqlite3.smt2,DLiSA,1.0,0.321 (0.590),0.040
QF_AUFBV_891_sqlite3.smt2,DLiSA-B4,3.0,0.343 (0.803),0.040
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,FEMOSAA,3.0,2.349 (0.268),0.010
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,SEED-EA,3.0,2.356 (0.184),0.013
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,DSOGA,2.0,2.343 (0.171),0.010
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,LiDOS,2.0,2.317 (0.130),0.010
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,OpperTune,3.0,2.472 (0.446),0.020
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,DLiSA,1.0,2.298 (0.094),0.010
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,DLiSA-B4,2.0,2.302 (0.108),0.010
QF_BV_bench_3176.smt2,FEMOSAA,3.0,3.205 (0.156),0.130
QF_BV_bench_3176.smt2,SEED-EA,2.0,3.163 (0.123),0.010
QF_BV_bench_3176.smt2,DSOGA,3.0,3.166 (0.103),0.020
QF_BV_bench_3176.smt2,LiDOS,3.0,3.171 (0.139),0.012
QF_BV_bench_3176.smt2,OpperTune,4.0,3.302 (0.386),0.160
QF_BV_bench_3176.smt2,DLiSA,3.0,3.171 (0.141),0.020
QF_BV_bench_3176.smt2,DLiSA-B4,1.0,3.148 (0.069),0.010
QF_BV_bench_935.smt2,FEMOSAA,2.0,1.362 (0.188),0.010
QF_BV_bench_935.smt2,SEED-EA,2.0,1.367 (0.564),0.000
QF_BV_bench_935.smt2,DSOGA,1.0,1.307 (0.082),0.000
QF_BV_bench_935.smt2,LiDOS,2.0,1.340 (0.154),0.000
QF_BV_bench_935.smt2,OpperTune,2.0,1.448 (0.259),0.310
QF_BV_bench_935.smt2,DLiSA,2.0,1.339 (0.266),0.000
QF_BV_bench_935.smt2,DLiSA-B4,2.0,1.330 (0.285),0.000
