encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,weight,selected
1,0,0,1,0,0,0,0,1,1,0,1.416667,1
0,1,0,0,1,0,0,1,1,0,1,1.416667,0
0,0,0,0,0,0,1,0,1,0,0,1.833333,1
0,0,0,0,0,1,0,1,0,1,0,1.166667,1
0,0,0,0,0,1,0,0,0,1,0,1.333333,0
0,1,0,0,1,0,0,1,1,1,0,1.75,1
0,0,0,0,0,1,0,0,1,0,0,1.416667,1
1,1,1,0,0,0,0,0,1,0,0,0.166667,0
0,1,0,0,0,1,0,0,1,0,0,0.166667,0
1,0,0,0,1,0,0,1,1,0,1,0.166667,0
0,0,0,0,1,0,0,0,0,1,0,1.75,1
0,0,0,0,1,0,0,0,1,0,1,1.333333,1
1,0,0,0,0,0,1,0,1,0,0,1.5,1
1,0,0,0,0,0,1,1,0,0,0,1.333333,1
0,0,0,0,1,0,0,1,1,0,1,1.083333,1
0,0,0,0,0,1,0,1,1,1,0,0.666667,1
0,0,0,0,0,1,0,0,1,1,0,1.166667,1
0,0,0,0,0,1,0,0,0,0,0,1.5,0
1,1,1,0,0,0,0,0,0,1,0,1.0,1
0,0,0,0,1,0,0,0,1,0,0,1.166667,1
0,0,0,0,0,1,0,1,0,0,0,0.583333,1
1,1,0,0,1,0,0,0,0,0,0,1.333333,0
0,1,0,0,1,0,0,0,1,0,1,1.416667,1
1,0,0,0,1,0,0,0,1,0,0,1.166667,1
0,0,0,0,1,0,0,1,0,0,1,1.083333,1
1,0,1,0,0,0,0,0,0,1,0,1.25,0
0,1,0,0,1,0,0,1,1,1,1,1.166667,1
1,0,0,0,1,0,0,0,1,0,1,1.0,1
