workload,target_algo,target_b,target_T,my_algo,my_m,s,label
jpeg-large,DLiSA,88,1.8388000000000004,DLiSA-B4,41,2.1463414634146343,1
jpeg-medium,DLiSA,90,1.1176999999999995,DLiSA-B4,31,2.903225806451613,1
jpeg-small,DLiSA,89,0.3738999999999998,DLiSA-B4,76,1.1710526315789473,1
png-large,DLiSA,89,1.5942,DLiSA-B4,43,2.0697674418604652,1
png-medium,DLiSA,90,0.5005000000000001,DLiSA-B4,83,1.0843373493975903,1
png-small,DLiSA,88,0.3827,DLiSA-B4,34,2.588235294117647,1
psd-large,DLiSA,87,16.74360000000001,DLiSA-B4,64,1.359375,1
psd-medium,DLiSA,90,1.0324000000000004,DLiSA-B4,44,2.0454545454545454,1
psd-small,DLiSA,90,0.47929999999999995,DLiSA-B4,33,2.727272727272727,1
svg-large,DLiSA,90,1.4336000000000015,DLiSA-B4,79,1.139240506329114,1
svg-medium,DLiSA,85,1.444899999999999,DLiSA-B4,57,1.4912280701754386,1
svg-small,DLiSA,87,0.4913,DLiSA-B4,32,2.71875,1
