workload,target_algo,target_b,target_T,my_algo,my_m,s,label
ambivert.wav.tar,OpperTune,10,4.946300000000001,DLiSA-B4,3,3.3333333333333335,1
artificl.tar,OpperTune,10,0.015500000000000012,DLiSA-B4,6,1.6666666666666667,1
deepfield.tar,OpperTune,10,4.8431999999999995,DLiSA-B4,3,3.3333333333333335,1
enwik8.tar,OpperTune,10,14.105099999999993,DLiSA-B4,4,2.5,1
fannie_mae_500k.tar,OpperTune,10,14.999599999999997,DLiSA-B4,3,3.3333333333333335,1
large.tar,OpperTune,10,2.1039000000000003,DLiSA-B4,4,2.5,1
misc.tar,OpperTune,10,0.21319999999999995,DLiSA-B4,5,2.0,1
silesia.tar,OpperTune,10,30.965400000000002,DLiSA-B4,4,2.5,1
uiq-32.bin,OpperTune,10,27.29970000000001,DLiSA-B4,4,2.5,1
uiq2-16.bin,OpperTune,10,13.8998,DLiSA-B4,4,2.5,1
uiq2-4.bin,OpperTune,10,3.433700000000002,DLiSA-B4,5,2.0,1
uiq2-8.bin,OpperTune,10,6.875899999999998,DLiSA-B4,4,2.5,1
vmlinux-5.10.tar,OpperTune,10,3.749600000000001,DLiSA-B4,3,3.3333333333333335,1
