workload,target_algo,target_b,target_T,my_algo,my_m,s,label
ambivert.wav.tar,OpperTune,30,3.3750999999999998,DLiSA-B4,4,7.5,1
artificl.tar,OpperTune,26,0.03359999999999997,DLiSA-B4,7,3.7142857142857144,1
deepfield.tar,OpperTune,29,3.388099999999999,DLiSA-B4,8,3.625,1
enwik8.tar,OpperTune,88,7.556599999999999,DLiSA-B4,3,29.333333333333332,1
fannie_mae_500k.tar,OpperTune,29,34.087900000000005,DLiSA-B4,4,7.25,1
large.tar,OpperTune,30,1.0047,DLiSA-B4,6,5.0,1
misc.tar,OpperTune,29,0.20600000000000007,DLiSA-B4,2,14.5,1
silesia.tar,OpperTune,80,11.1128,DLiSA-B4,3,26.666666666666668,1
uiq-32.bin,OpperTune,30,9.975000000000005,DLiSA-B4,4,7.5,1
uiq2-16.bin,OpperTune,29,6.015600000000004,DLiSA-B4,3,9.666666666666666,1
uiq2-4.bin,OpperTune,30,2.207899999999999,DLiSA-B4,4,7.5,1
uiq2-8.bin,OpperTune,30,3.700399999999998,DLiSA-B4,7,4.285714285714286,1
vmlinux-5.10.tar,OpperTune,30,2.5806000000000013,DLiSA-B4,6,5.0,1
