workload,target_algo,target_b,target_T,my_algo,my_m,s,label
AUFNIRA_z3.637557.smt2,DLiSA,89,5.869900000000007,DLiSA-B4,60.0,1.4833333333333334,1
LRA_formula_277.smt2,DLiSA,89,1.839199999999999,DLiSA-B4,,-1.0,-1
QF_AUFBV_891_sqlite3.smt2,DLiSA,88,0.3205999999999999,DLiSA-B4,,-1.0,-1
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,DLiSA,90,2.2983000000000002,DLiSA-B4,,-1.0,-1
QF_BV_bench_3176.smt2,DLiSA,89,3.1712999999999987,DLiSA-B4,63.0,1.4126984126984128,1
QF_BV_bench_935.smt2,DLiSA,86,1.339500000000002,DLiSA-B4,62.0,1.3870967741935485,1
QF_LIA_tightrhombus,DLiSA,84,0.23969999999999994,DLiSA-B4,,-1.0,-1
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,DLiSA,88,8.747200000000003,DLiSA-B4,76.0,1.1578947368421053,1
QF_NRA_hong_9.smt2,DLiSA,84,3.1817000000000046,DLiSA-B4,46.0,1.826086956521739,1
QF_RDL_orb08_888.smt2,DLiSA,90,6.801600000000005,DLiSA-B4,86.0,1.0465116279069768,1
QF_UFLIA_xs_23_43.smt2,DLiSA,90,7.987100000000005,DLiSA-B4,64.0,1.40625,1
QF_UF_PEQ018_size6.smt2,DLiSA,90,3.885299999999998,DLiSA-B4,,-1.0,-1
