workload,target_algo,target_b,target_T,my_algo,my_m,s,label
ambivert.wav.tar,DLiSA,83,3.139100000000001,DLiSA-B4,78.0,1.064102564102564,1
artificl.tar,DLiSA,85,0.03009999999999995,DLiSA-B4,64.0,1.328125,1
deepfield.tar,DLiSA,88,3.307400000000005,DLiSA-B4,,-1.0,-1
enwik8.tar,DLiSA,77,7.157399999999993,DLiSA-B4,59.0,1.305084745762712,1
fannie_mae_500k.tar,DLiSA,84,33.421899999999994,DLiSA-B4,,-1.0,-1
large.tar,DLiSA,90,0.9725999999999994,DLiSA-B4,71.0,1.267605633802817,1
misc.tar,DLiSA,84,0.19349999999999987,DLiSA-B4,,-1.0,-1
silesia.tar,DLiSA,89,10.912799999999995,DLiSA-B4,60.0,1.4833333333333334,1
uiq-32.bin,DLiSA,87,9.190500000000018,DLiSA-B4,71.0,1.2253521126760563,1
uiq2-16.bin,DLiSA,88,5.355799999999992,DLiSA-B4,,-1.0,-1
uiq2-4.bin,DLiSA,90,2.0916000000000023,DLiSA-B4,83.0,1.0843373493975903,1
uiq2-8.bin,DLiSA,88,3.504599999999996,DLiSA-B4,,-1.0,-1
vmlinux-5.10.tar,DLiSA,85,2.5330000000000026,DLiSA-B4,49.0,1.7346938775510203,1
