workload,target_algo,target_b,target_T,my_algo,my_m,s,label
AUFNIRA_z3.637557.smt2,OpperTune,90,5.901700000000003,DLiSA-B4,14.0,6.428571428571429,1
LRA_formula_277.smt2,OpperTune,88,1.7619999999999991,DLiSA-B4,,-1.0,-1
QF_AUFBV_891_sqlite3.smt2,OpperTune,90,1.2233000000000012,DLiSA-B4,20.0,4.5,1
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,OpperTune,87,2.471700000000001,DLiSA-B4,32.0,2.71875,1
QF_BV_bench_3176.smt2,OpperTune,86,3.3021,DLiSA-B4,35.0,2.4571428571428573,1
QF_BV_bench_935.smt2,OpperTune,89,1.4480000000000002,DLiSA-B4,33.0,2.696969696969697,1
QF_LIA_tightrhombus,OpperTune,81,0.2825,DLiSA-B4,67.0,1.208955223880597,1
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,OpperTune,65,8.763099999999998,DLiSA-B4,47.0,1.3829787234042554,1
QF_NRA_hong_9.smt2,OpperTune,85,3.1867000000000005,DLiSA-B4,11.0,7.7272727272727275,1
QF_RDL_orb08_888.smt2,OpperTune,90,6.833700000000002,DLiSA-B4,76.0,1.1842105263157894,1
QF_UFLIA_xs_23_43.smt2,OpperTune,86,8.557500000000003,DLiSA-B4,28.0,3.0714285714285716,1
QF_UF_PEQ018_size6.smt2,OpperTune,89,3.959799999999996,DLiSA-B4,34.0,2.6176470588235294,1
