workload,target_algo,target_b,target_T,my_algo,my_m,s,label
ambivert.wav.tar,DLiSA,87,4.040199999999998,DLiSA-B4,10.0,8.7,1
artificl.tar,DLiSA,81,0.01220000000000001,DLiSA-B4,14.0,5.785714285714286,1
deepfield.tar,DLiSA,88,3.9451,DLiSA-B4,12.0,7.333333333333333,1
enwik8.tar,DLiSA,34,11.828500000000004,DLiSA-B4,8.0,4.25,1
fannie_mae_500k.tar,DLiSA,38,11.752799999999995,DLiSA-B4,11.0,3.4545454545454546,1
large.tar,DLiSA,41,1.7699999999999994,DLiSA-B4,10.0,4.1,1
misc.tar,DLiSA,76,0.19949999999999984,DLiSA-B4,,-1.0,-1
silesia.tar,DLiSA,52,24.765000000000008,DLiSA-B4,12.0,4.333333333333333,1
uiq-32.bin,DLiSA,36,22.5299,DLiSA-B4,9.0,4.0,1
uiq2-16.bin,DLiSA,86,11.384700000000002,DLiSA-B4,10.0,8.6,1
uiq2-4.bin,DLiSA,73,2.8846000000000016,DLiSA-B4,9.0,8.11111111111111,1
uiq2-8.bin,DLiSA,19,5.500200000000001,DLiSA-B4,11.0,1.7272727272727273,1
vmlinux-5.10.tar,DLiSA,47,3.071400000000001,DLiSA-B4,9.0,5.222222222222222,1
