workload,target_algo,target_b,target_T,my_algo,my_m,s,label
corona,DLiSA,89,0.9112000000000006,DLiSA-B4,87.0,1.0229885057471264,1
cranium,DLiSA,89,1.3452000000000002,DLiSA-B4,74.0,1.2027027027027026,1
cubus,DLiSA,87,4.211199999999998,DLiSA-B4,85.0,1.0235294117647058,1
flame,DLiSA,90,1.2002999999999995,DLiSA-B4,88.0,1.0227272727272727,1
france,DLiSA,90,2.4112999999999953,DLiSA-B4,59.0,1.5254237288135593,1
frisco,DLiSA,89,3.1793999999999993,DLiSA-B4,85.0,1.0470588235294118,1
jelly,DLiSA,87,1.1393999999999995,DLiSA-B4,77.0,1.12987012987013,1
karte,DLiSA,88,7.086399999999995,DLiSA-B4,78.0,1.1282051282051282,1
mandelbrot,DLiSA,87,1.0512000000000004,DLiSA-B4,80.0,1.0875,1
strawberry,DLiSA,88,1.1192999999999995,DLiSA-B4,,-1.0,-1
village,DLiSA,87,1.6296000000000015,DLiSA-B4,78.0,1.1153846153846154,1
