NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,time
0,0,0,0,1,0,0,0,0,0,0,0,1,22,8,2,1.45
0,0,0,1,0,0,0,1,1,0,0,1,0,48,160,0,4.8188170912387935
0,0,0,1,0,0,0,0,0,0,0,0,1,22,8,0,4.814265395248333
1,0,1,1,0,0,1,0,0,1,0,1,0,22,160,1,4.811103445598406
1,1,1,0,0,0,0,1,1,0,0,1,0,8,8,1,4.817806014544674
0,0,0,0,0,1,0,1,0,1,0,1,1,22,320,0,4.817061023911179
1,0,1,0,0,0,0,0,0,0,1,1,0,8,160,1,4.817048833278344
1,0,0,0,0,1,0,0,0,0,1,0,1,8,160,0,4.817630675487511
0,0,0,0,0,0,0,0,1,0,1,0,1,8,160,0,4.811506228093049
0,0,1,1,0,0,0,0,0,1,0,1,0,8,160,1,4.8117730641999055
1,0,0,1,0,0,0,1,1,1,0,0,0,48,160,2,4.811050646191825
1,0,0,0,0,1,1,1,0,1,0,1,1,8,8,0,4.813754423779239
