Workload,Algorithm,r,Mean (Std),IQR
beethoven.wav,DLiSA-B0,1.0,2.586 (0.585),0.41
beethoven.wav,DLiSA-B1,1.0,2.606 (0.659),0.768
beethoven.wav,DLiSA-B2,1.0,2.603 (0.642),0.47
beethoven.wav,DLiSA-B3,1.0,2.504 (0.514),0.52
beethoven.wav,DLiSA-B4,1.0,2.506 (0.552),0.342
beethoven.wav,DLiSA-B,1.0,2.566 (0.55),0.555
beethoven.wav,DLiSA-B6,1.0,2.594 (0.647),0.5
beethoven.wav,DLiSA-B7,1.0,2.575 (0.6),0.565
beethoven.wav,DLiSA-B8,2.0,2.63 (0.601),0.565
beethoven.wav,DLiSA-B9,2.0,2.614 (0.586),0.61
dual-channel.wav,DLiSA-B0,1.0,0.846 (0.205),0.208
dual-channel.wav,DLiSA-B1,2.0,0.886 (0.214),0.295
dual-channel.wav,DLiSA-B2,1.0,0.848 (0.192),0.282
dual-channel.wav,DLiSA-B3,2.0,0.856 (0.214),0.282
dual-channel.wav,DLiSA-B4,1.0,0.856 (0.241),0.24
dual-channel.wav,DLiSA-B,2.0,0.892 (0.232),0.325
dual-channel.wav,DLiSA-B6,1.0,0.855 (0.212),0.3
dual-channel.wav,DLiSA-B7,2.0,0.879 (0.228),0.34
dual-channel.wav,DLiSA-B8,2.0,0.859 (0.214),0.27
dual-channel.wav,DLiSA-B9,2.0,0.889 (0.244),0.322
helix.wav,DLiSA-B0,2.0,1.347 (0.384),0.402
helix.wav,DLiSA-B1,2.0,1.365 (0.399),0.485
helix.wav,DLiSA-B2,1.0,1.323 (0.354),0.42
helix.wav,DLiSA-B3,1.0,1.325 (0.361),0.435
helix.wav,DLiSA-B4,1.0,1.279 (0.398),0.4
helix.wav,DLiSA-B,2.0,1.379 (0.403),0.56
helix.wav,DLiSA-B6,1.0,1.326 (0.352),0.45
helix.wav,DLiSA-B7,1.0,1.308 (0.367),0.48
helix.wav,DLiSA-B8,2.0,1.378 (0.416),0.545
helix.wav,DLiSA-B9,2.0,1.342 (0.358),0.403
single-channel.wav,DLiSA-B0,1.0,0.678 (0.115),0.13
single-channel.wav,DLiSA-B1,1.0,0.682 (0.115),0.11
single-channel.wav,DLiSA-B2,1.0,0.664 (0.108),0.102
single-channel.wav,DLiSA-B3,1.0,0.667 (0.113),0.1
single-channel.wav,DLiSA-B4,1.0,0.665 (0.104),0.102
single-channel.wav,DLiSA-B,1.0,0.664 (0.114),0.085
single-channel.wav,DLiSA-B6,1.0,0.662 (0.099),0.11
single-channel.wav,DLiSA-B7,1.0,0.665 (0.116),0.08
single-channel.wav,DLiSA-B8,1.0,0.662 (0.102),0.102
single-channel.wav,DLiSA-B9,1.0,0.679 (0.108),0.112
speech.wav,DLiSA-B0,1.0,1.124 (0.324),0.357
speech.wav,DLiSA-B1,2.0,1.166 (0.369),0.412
speech.wav,DLiSA-B2,1.0,1.15 (0.363),0.15
speech.wav,DLiSA-B3,1.0,1.098 (0.294),0.238
speech.wav,DLiSA-B4,1.0,1.125 (0.329),0.16
speech.wav,DLiSA-B,2.0,1.158 (0.335),0.36
speech.wav,DLiSA-B6,2.0,1.153 (0.324),0.27
speech.wav,DLiSA-B7,1.0,1.128 (0.327),0.338
speech.wav,DLiSA-B8,2.0,1.153 (0.32),0.318
speech.wav,DLiSA-B9,1.0,1.142 (0.321),0.237
sweep.wav,DLiSA-B0,1.0,0.31 (0.033),0.03
sweep.wav,DLiSA-B1,1.0,0.311 (0.034),0.03
sweep.wav,DLiSA-B2,1.0,0.312 (0.035),0.033
sweep.wav,DLiSA-B3,1.0,0.309 (0.029),0.03
sweep.wav,DLiSA-B4,1.0,0.308 (0.03),0.03
sweep.wav,DLiSA-B,1.0,0.312 (0.035),0.03
sweep.wav,DLiSA-B6,1.0,0.31 (0.035),0.03
sweep.wav,DLiSA-B7,1.0,0.308 (0.033),0.02
sweep.wav,DLiSA-B8,1.0,0.31 (0.028),0.03
sweep.wav,DLiSA-B9,1.0,0.31 (0.033),0.03
