Workload,Algorithm,r,Mean (Std),IQR
corona,DLiSA-B0,3.0,0.912 (0.027),0.013
corona,DLiSA-B1,3.0,0.912 (0.025),0.02
corona,DLiSA-B2,2.0,0.909 (0.014),0.02
corona,DLiSA-B3,1.0,0.908 (0.017),0.01
corona,DLiSA-B4,2.0,0.911 (0.022),0.01
corona,DLiSA-B,2.0,0.91 (0.016),0.02
corona,DLiSA-B6,3.0,0.911 (0.024),0.02
corona,DLiSA-B7,2.0,0.911 (0.016),0.02
corona,DLiSA-B8,3.0,0.915 (0.021),0.02
corona,DLiSA-B9,3.0,0.92 (0.018),0.03
cranium,DLiSA-B0,1.0,1.339 (0.016),0.01
cranium,DLiSA-B1,2.0,1.345 (0.026),0.012
cranium,DLiSA-B2,2.0,1.344 (0.025),0.02
cranium,DLiSA-B3,1.0,1.343 (0.025),0.01
cranium,DLiSA-B4,2.0,1.343 (0.029),0.01
cranium,DLiSA-B,2.0,1.343 (0.024),0.02
cranium,DLiSA-B6,2.0,1.344 (0.029),0.012
cranium,DLiSA-B7,2.0,1.343 (0.023),0.01
cranium,DLiSA-B8,2.0,1.348 (0.03),0.03
cranium,DLiSA-B9,3.0,1.351 (0.023),0.03
cubus,DLiSA-B0,1.0,4.208 (0.065),0.04
cubus,DLiSA-B1,2.0,4.217 (0.08),0.04
cubus,DLiSA-B2,2.0,4.213 (0.08),0.04
cubus,DLiSA-B3,2.0,4.213 (0.085),0.04
cubus,DLiSA-B4,2.0,4.21 (0.066),0.04
cubus,DLiSA-B,2.0,4.209 (0.069),0.04
cubus,DLiSA-B6,2.0,4.21 (0.065),0.04
cubus,DLiSA-B7,2.0,4.213 (0.066),0.04
cubus,DLiSA-B8,2.0,4.217 (0.079),0.04
cubus,DLiSA-B9,2.0,4.228 (0.062),0.05
flame,DLiSA-B0,2.0,1.199 (0.029),0.04
flame,DLiSA-B1,1.0,1.194 (0.023),0.04
flame,DLiSA-B2,2.0,1.199 (0.027),0.04
flame,DLiSA-B3,3.0,1.2 (0.024),0.04
flame,DLiSA-B4,3.0,1.2 (0.027),0.04
flame,DLiSA-B,3.0,1.202 (0.024),0.04
flame,DLiSA-B6,3.0,1.201 (0.024),0.04
flame,DLiSA-B7,3.0,1.201 (0.03),0.04
flame,DLiSA-B8,3.0,1.204 (0.03),0.04
flame,DLiSA-B9,4.0,1.208 (0.022),0.02
france,DLiSA-B0,3.0,2.408 (0.033),0.02
france,DLiSA-B1,4.0,2.41 (0.034),0.022
france,DLiSA-B2,4.0,2.409 (0.029),0.02
france,DLiSA-B3,2.0,2.406 (0.03),0.02
france,DLiSA-B4,1.0,2.406 (0.027),0.02
france,DLiSA-B,4.0,2.412 (0.036),0.03
france,DLiSA-B6,3.0,2.409 (0.038),0.02
france,DLiSA-B7,4.0,2.413 (0.031),0.03
france,DLiSA-B8,4.0,2.421 (0.046),0.03
france,DLiSA-B9,4.0,2.436 (0.044),0.06
frisco,DLiSA-B0,2.0,3.181 (0.092),0.05
frisco,DLiSA-B1,2.0,3.178 (0.078),0.05
frisco,DLiSA-B2,2.0,3.176 (0.089),0.05
frisco,DLiSA-B3,2.0,3.18 (0.084),0.05
frisco,DLiSA-B4,2.0,3.177 (0.086),0.05
frisco,DLiSA-B,1.0,3.173 (0.071),0.05
frisco,DLiSA-B6,1.0,3.172 (0.08),0.05
frisco,DLiSA-B7,2.0,3.18 (0.087),0.05
frisco,DLiSA-B8,2.0,3.195 (0.087),0.08
frisco,DLiSA-B9,2.0,3.209 (0.082),0.067
jelly,DLiSA-B0,2.0,1.137 (0.012),0.01
jelly,DLiSA-B1,2.0,1.139 (0.018),0.012
jelly,DLiSA-B2,2.0,1.138 (0.014),0.01
jelly,DLiSA-B3,2.0,1.139 (0.014),0.02
jelly,DLiSA-B4,1.0,1.137 (0.012),0.01
jelly,DLiSA-B,2.0,1.14 (0.023),0.01
jelly,DLiSA-B6,2.0,1.139 (0.014),0.012
jelly,DLiSA-B7,2.0,1.139 (0.015),0.02
jelly,DLiSA-B8,3.0,1.14 (0.017),0.02
jelly,DLiSA-B9,3.0,1.144 (0.019),0.02
karte,DLiSA-B0,3.0,7.077 (0.098),0.02
karte,DLiSA-B1,1.0,7.071 (0.066),0.02
karte,DLiSA-B2,3.0,7.075 (0.071),0.02
karte,DLiSA-B3,3.0,7.079 (0.078),0.02
karte,DLiSA-B4,3.0,7.076 (0.057),0.02
karte,DLiSA-B,2.0,7.074 (0.055),0.02
karte,DLiSA-B6,2.0,7.074 (0.062),0.03
karte,DLiSA-B7,3.0,7.101 (0.165),0.07
karte,DLiSA-B8,3.0,7.101 (0.124),0.083
karte,DLiSA-B9,3.0,7.132 (0.11),0.11
mandelbrot,DLiSA-B0,3.0,1.05 (0.014),0.01
mandelbrot,DLiSA-B1,3.0,1.051 (0.013),0.01
mandelbrot,DLiSA-B2,3.0,1.051 (0.014),0.01
mandelbrot,DLiSA-B3,3.0,1.05 (0.013),0.012
mandelbrot,DLiSA-B4,1.0,1.05 (0.012),0.01
mandelbrot,DLiSA-B,2.0,1.05 (0.012),0.01
mandelbrot,DLiSA-B6,1.0,1.05 (0.013),0.02
mandelbrot,DLiSA-B7,3.0,1.053 (0.016),0.02
