Workload,Algorithm,r,Mean (Std),IQR
jpeg-large,DLiSA-B0,2.0,1.839 (0.113),0.032
jpeg-large,DLiSA-B1,2.0,1.839 (0.115),0.032
jpeg-large,DLiSA-B2,1.0,1.817 (0.075),0.03
jpeg-large,DLiSA-B3,1.0,1.827 (0.098),0.04
jpeg-large,DLiSA-B4,1.0,1.825 (0.086),0.02
jpeg-large,DLiSA-B,1.0,1.831 (0.098),0.03
jpeg-large,DLiSA-B6,2.0,1.834 (0.104),0.03
jpeg-large,DLiSA-B7,2.0,1.835 (0.097),0.022
jpeg-large,DLiSA-B8,1.0,1.826 (0.08),0.03
jpeg-large,DLiSA-B9,2.0,1.856 (0.116),0.05
jpeg-medium,DLiSA-B0,2.0,1.108 (0.043),0.052
jpeg-medium,DLiSA-B1,3.0,1.115 (0.049),0.07
jpeg-medium,DLiSA-B2,2.0,1.109 (0.044),0.04
jpeg-medium,DLiSA-B3,2.0,1.106 (0.036),0.042
jpeg-medium,DLiSA-B4,1.0,1.103 (0.041),0.05
jpeg-medium,DLiSA-B,3.0,1.111 (0.049),0.05
jpeg-medium,DLiSA-B6,2.0,1.109 (0.048),0.042
jpeg-medium,DLiSA-B7,3.0,1.113 (0.044),0.04
jpeg-medium,DLiSA-B8,3.0,1.116 (0.045),0.04
jpeg-medium,DLiSA-B9,3.0,1.126 (0.049),0.06
jpeg-small,DLiSA-B0,3.0,0.374 (0.01),0.01
jpeg-small,DLiSA-B1,3.0,0.374 (0.009),0.01
jpeg-small,DLiSA-B2,2.0,0.374 (0.009),0.01
jpeg-small,DLiSA-B3,3.0,0.374 (0.008),0.01
jpeg-small,DLiSA-B4,1.0,0.373 (0.009),0.01
jpeg-small,DLiSA-B,1.0,0.372 (0.007),0.01
jpeg-small,DLiSA-B6,3.0,0.374 (0.009),0.01
jpeg-small,DLiSA-B7,3.0,0.376 (0.009),0.01
jpeg-small,DLiSA-B8,3.0,0.379 (0.009),0.01
jpeg-small,DLiSA-B9,3.0,0.379 (0.009),0.01
png-large,DLiSA-B0,2.0,1.597 (0.062),0.02
png-large,DLiSA-B1,2.0,1.6 (0.063),0.022
png-large,DLiSA-B2,1.0,1.589 (0.048),0.02
png-large,DLiSA-B3,2.0,1.594 (0.05),0.02
png-large,DLiSA-B4,1.0,1.591 (0.054),0.02
png-large,DLiSA-B,2.0,1.594 (0.051),0.02
png-large,DLiSA-B6,1.0,1.588 (0.043),0.02
png-large,DLiSA-B7,2.0,1.593 (0.054),0.02
png-large,DLiSA-B8,2.0,1.593 (0.045),0.02
png-large,DLiSA-B9,2.0,1.603 (0.052),0.03
png-medium,DLiSA-B0,3.0,0.5 (0.019),0.02
png-medium,DLiSA-B1,3.0,0.502 (0.02),0.02
png-medium,DLiSA-B2,3.0,0.5 (0.019),0.02
png-medium,DLiSA-B3,2.0,0.5 (0.017),0.01
png-medium,DLiSA-B4,3.0,0.5 (0.015),0.02
png-medium,DLiSA-B,3.0,0.5 (0.017),0.02
png-medium,DLiSA-B6,1.0,0.499 (0.017),0.01
png-medium,DLiSA-B7,3.0,0.501 (0.017),0.02
png-medium,DLiSA-B8,3.0,0.505 (0.02),0.02
png-medium,DLiSA-B9,3.0,0.512 (0.02),0.02
png-small,DLiSA-B0,1.0,0.38 (0.011),0.02
png-small,DLiSA-B1,2.0,0.382 (0.01),0.02
png-small,DLiSA-B2,2.0,0.381 (0.01),0.01
png-small,DLiSA-B3,2.0,0.381 (0.01),0.01
png-small,DLiSA-B4,1.0,0.379 (0.011),0.01
png-small,DLiSA-B,2.0,0.382 (0.011),0.01
png-small,DLiSA-B6,2.0,0.382 (0.01),0.01
png-small,DLiSA-B7,2.0,0.381 (0.011),0.02
png-small,DLiSA-B8,3.0,0.385 (0.01),0.01
png-small,DLiSA-B9,3.0,0.386 (0.012),0.01
psd-large,DLiSA-B0,2.0,16.892 (2.178),0.05
psd-large,DLiSA-B1,2.0,16.905 (2.178),0.053
psd-large,DLiSA-B2,1.0,16.524 (1.507),0.05
psd-large,DLiSA-B3,1.0,16.45 (1.306),0.05
psd-large,DLiSA-B4,1.0,16.6 (1.674),0.05
psd-large,DLiSA-B,2.0,16.628 (1.684),0.053
psd-large,DLiSA-B6,2.0,16.671 (1.824),0.053
psd-large,DLiSA-B7,2.0,16.91 (2.207),0.06
psd-large,DLiSA-B8,1.0,16.467 (1.31),0.08
psd-large,DLiSA-B9,2.0,16.937 (2.195),0.09
psd-medium,DLiSA-B0,1.0,1.027 (0.025),0.02
psd-medium,DLiSA-B1,2.0,1.03 (0.024),0.03
psd-medium,DLiSA-B2,1.0,1.03 (0.023),0.02
psd-medium,DLiSA-B3,1.0,1.025 (0.019),0.02
psd-medium,DLiSA-B4,1.0,1.027 (0.025),0.03
psd-medium,DLiSA-B,2.0,1.03 (0.022),0.02
psd-medium,DLiSA-B6,1.0,1.027 (0.024),0.03
psd-medium,DLiSA-B7,1.0,1.029 (0.025),0.03
psd-medium,DLiSA-B8,2.0,1.031 (0.023),0.02
psd-medium,DLiSA-B9,2.0,1.031 (0.025),0.02
psd-small,DLiSA-B0,1.0,0.474 (0.014),0.02
psd-small,DLiSA-B1,2.0,0.475 (0.014),0.02
psd-small,DLiSA-B2,3.0,0.475 (0.013),0.02
psd-small,DLiSA-B3,1.0,0.474 (0.013),0.02
psd-small,DLiSA-B4,3.0,0.475 (0.014),0.02
psd-small,DLiSA-B,3.0,0.475 (0.013),0.02
psd-small,DLiSA-B6,3.0,0.476 (0.014),0.02
psd-small,DLiSA-B7,3.0,0.479 (0.014),0.01
