Workload,Algorithm,r,Mean (Std),IQR
smallbank-1,DLiSA-B0,2.0,26538.344 (812.445),811.854
smallbank-1,DLiSA-B1,3.0,26401.541 (1212.504),819.154
smallbank-1,DLiSA-B2,2.0,26550.434 (968.012),832.67
smallbank-1,DLiSA-B3,2.0,26588.759 (795.135),784.582
smallbank-1,DLiSA-B4,1.0,26662.644 (867.713),644.04
smallbank-1,DLiSA-B,2.0,26580.96 (949.361),681.192
smallbank-1,DLiSA-B6,2.0,26574.33 (965.78),730.654
smallbank-1,DLiSA-B7,3.0,26446.29 (955.597),613.024
smallbank-1,DLiSA-B8,2.0,26498.957 (629.3),725.195
smallbank-1,DLiSA-B9,3.0,26347.649 (861.68),887.592
smallbank-10,DLiSA-B0,2.0,18891.227 (714.959),536.193
smallbank-10,DLiSA-B1,2.0,18905.613 (814.246),418.617
smallbank-10,DLiSA-B2,1.0,18985.651 (656.405),253.195
smallbank-10,DLiSA-B3,1.0,18959.952 (502.909),478.006
smallbank-10,DLiSA-B4,1.0,19034.127 (435.863),250.439
smallbank-10,DLiSA-B,1.0,18939.103 (645.071),537.285
smallbank-10,DLiSA-B6,1.0,18929.873 (612.8),303.431
smallbank-10,DLiSA-B7,1.0,18960.607 (469.796),439.584
smallbank-10,DLiSA-B8,2.0,18804.542 (799.082),516.773
smallbank-10,DLiSA-B9,2.0,18857.025 (510.991),533.367
tpcc-2,DLiSA-B0,2.0,947.432 (39.806),44.641
tpcc-2,DLiSA-B1,2.0,948.553 (44.903),47.274
tpcc-2,DLiSA-B2,2.0,950.984 (35.253),42.69
tpcc-2,DLiSA-B3,1.0,953.989 (35.667),34.426
tpcc-2,DLiSA-B4,1.0,957.399 (32.125),31.212
tpcc-2,DLiSA-B,2.0,949.541 (35.097),38.829
tpcc-2,DLiSA-B6,2.0,947.15 (36.299),48.277
tpcc-2,DLiSA-B7,2.0,947.591 (43.809),47.036
tpcc-2,DLiSA-B8,2.0,947.266 (34.436),49.642
tpcc-2,DLiSA-B9,3.0,935.125 (38.353),43.919
tpcc-8,DLiSA-B0,1.0,1024.415 (60.638),37.317
tpcc-8,DLiSA-B1,1.0,1024.413 (65.664),32.521
tpcc-8,DLiSA-B2,1.0,1032.902 (43.119),31.07
tpcc-8,DLiSA-B3,1.0,1024.392 (66.694),34.885
tpcc-8,DLiSA-B4,1.0,1034.93 (44.399),33.186
tpcc-8,DLiSA-B,1.0,1025.873 (55.14),36.061
tpcc-8,DLiSA-B6,2.0,1015.788 (80.212),42.686
tpcc-8,DLiSA-B7,2.0,1016.762 (64.016),44.843
tpcc-8,DLiSA-B8,2.0,1009.272 (61.118),31.921
tpcc-8,DLiSA-B9,2.0,1004.471 (70.678),32.697
voter-16,DLiSA-B0,1.0,47982.141 (1796.83),529.312
voter-16,DLiSA-B1,1.0,47801.383 (2402.24),423.692
voter-16,DLiSA-B2,1.0,48032.52 (1778.817),509.458
voter-16,DLiSA-B3,1.0,48033.418 (1773.472),780.822
voter-16,DLiSA-B4,1.0,48038.357 (1777.191),414.933
voter-16,DLiSA-B,1.0,47885.761 (2379.108),793.372
voter-16,DLiSA-B6,1.0,47876.083 (2360.462),791.718
voter-16,DLiSA-B7,1.0,47804.348 (2400.054),806.902
voter-16,DLiSA-B8,1.0,47857.135 (1840.811),344.583
voter-16,DLiSA-B9,1.0,47801.928 (1701.463),544.958
voter-2,DLiSA-B0,1.0,47963.572 (2327.098),504.567
voter-2,DLiSA-B1,2.0,47308.188 (3905.832),527.821
voter-2,DLiSA-B2,1.0,48139.934 (1722.146),456.233
voter-2,DLiSA-B3,1.0,47995.489 (2303.066),482.658
voter-2,DLiSA-B4,1.0,48124.373 (1668.305),434.808
voter-2,DLiSA-B,1.0,47845.584 (2704.695),515.487
voter-2,DLiSA-B6,1.0,47985.989 (2269.318),567.683
voter-2,DLiSA-B7,1.0,47729.77 (2782.139),644.429
voter-2,DLiSA-B8,2.0,47536.601 (3177.185),670.703
voter-2,DLiSA-B9,1.0,47795.288 (2270.322),717.6
ycsb-2400,DLiSA-B0,1.0,20149.222 (1240.443),1207.402
ycsb-2400,DLiSA-B1,1.0,20145.394 (1339.013),1133.051
ycsb-2400,DLiSA-B2,1.0,20147.922 (1312.319),1204.475
ycsb-2400,DLiSA-B3,1.0,20296.812 (1101.596),1052.379
ycsb-2400,DLiSA-B4,1.0,20240.624 (1136.047),1140.443
ycsb-2400,DLiSA-B,1.0,20229.976 (1233.672),1120.892
ycsb-2400,DLiSA-B6,1.0,20183.014 (1232.067),1313.403
ycsb-2400,DLiSA-B7,2.0,20004.126 (1429.453),1339.147
ycsb-2400,DLiSA-B8,2.0,19968.996 (1330.424),1330.205
ycsb-2400,DLiSA-B9,2.0,19801.268 (1341.259),1163.357
ycsb-600,DLiSA-B0,1.0,28333.016 (1458.024),1591.172
ycsb-600,DLiSA-B1,1.0,28402.98 (1456.853),1244.89
ycsb-600,DLiSA-B2,1.0,28541.336 (1461.484),1020.66
ycsb-600,DLiSA-B3,1.0,28462.765 (1532.5),1066.041
ycsb-600,DLiSA-B4,1.0,28465.721 (1323.321),1131.551
ycsb-600,DLiSA-B,1.0,28430.403 (1375.3),1007.724
ycsb-600,DLiSA-B6,1.0,28304.871 (1651.986),1490.748
ycsb-600,DLiSA-B7,2.0,27794.937 (1851.965),2265.877
ycsb-600,DLiSA-B8,2.0,28041.527 (1447.286),1793.758
ycsb-600,DLiSA-B9,2.0,27891.612 (1427.534),2016.02
