Workload,Algorithm,r,Mean (Std),IQR
ambivert.wav.tar,DLiSA-B0,1.0,3.982 (1.069),0.347
ambivert.wav.tar,DLiSA-B1,2.0,4.0 (1.034),0.927
ambivert.wav.tar,DLiSA-B2,1.0,3.922 (0.974),0.407
ambivert.wav.tar,DLiSA-B3,1.0,3.993 (1.045),0.898
ambivert.wav.tar,DLiSA-B4,1.0,3.838 (0.907),0.225
ambivert.wav.tar,DLiSA-B,1.0,3.947 (0.994),0.887
ambivert.wav.tar,DLiSA-B6,1.0,3.81 (0.862),0.202
ambivert.wav.tar,DLiSA-B7,1.0,3.97 (1.018),0.44
ambivert.wav.tar,DLiSA-B8,1.0,3.925 (1.033),0.252
ambivert.wav.tar,DLiSA-B9,2.0,4.116 (1.124),0.94
artificl.tar,DLiSA-B0,1.0,0.012 (0.004),0.0
artificl.tar,DLiSA-B1,1.0,0.012 (0.004),0.0
artificl.tar,DLiSA-B2,1.0,0.012 (0.004),0.0
artificl.tar,DLiSA-B3,1.0,0.011 (0.003),0.0
artificl.tar,DLiSA-B4,1.0,0.012 (0.004),0.0
artificl.tar,DLiSA-B,1.0,0.012 (0.004),0.0
artificl.tar,DLiSA-B6,2.0,0.012 (0.004),0.0
artificl.tar,DLiSA-B7,2.0,0.012 (0.004),0.0
artificl.tar,DLiSA-B8,2.0,0.012 (0.004),0.0
artificl.tar,DLiSA-B9,2.0,0.012 (0.004),0.0
deepfield.tar,DLiSA-B0,2.0,3.938 (1.032),0.39
deepfield.tar,DLiSA-B1,2.0,3.882 (0.979),0.842
deepfield.tar,DLiSA-B2,1.0,3.858 (0.971),0.315
deepfield.tar,DLiSA-B3,2.0,3.932 (1.031),0.81
deepfield.tar,DLiSA-B4,1.0,3.838 (0.991),0.21
deepfield.tar,DLiSA-B,2.0,3.966 (1.063),0.855
deepfield.tar,DLiSA-B6,1.0,3.734 (0.907),0.21
deepfield.tar,DLiSA-B7,2.0,3.885 (1.029),0.338
deepfield.tar,DLiSA-B8,1.0,3.862 (0.996),0.217
deepfield.tar,DLiSA-B9,2.0,4.007 (1.04),0.88
enwik8.tar,DLiSA-B0,2.0,11.598 (3.482),4.63
enwik8.tar,DLiSA-B1,1.0,11.116 (3.466),4.043
enwik8.tar,DLiSA-B2,1.0,11.288 (3.224),3.495
enwik8.tar,DLiSA-B3,1.0,11.321 (3.345),3.445
enwik8.tar,DLiSA-B4,1.0,11.19 (3.224),3.95
enwik8.tar,DLiSA-B,2.0,11.38 (3.361),4.38
enwik8.tar,DLiSA-B6,1.0,10.598 (3.352),2.865
enwik8.tar,DLiSA-B7,1.0,11.36 (3.367),4.212
enwik8.tar,DLiSA-B8,1.0,11.127 (3.417),4.315
enwik8.tar,DLiSA-B9,1.0,10.913 (3.167),3.307
fannie_mae_500k.tar,DLiSA-B0,1.0,11.374 (3.238),2.252
fannie_mae_500k.tar,DLiSA-B1,1.0,11.615 (3.356),4.308
fannie_mae_500k.tar,DLiSA-B2,1.0,11.413 (3.25),2.282
fannie_mae_500k.tar,DLiSA-B3,1.0,11.33 (3.19),2.198
