Workload,Algorithm,r,Mean (Std),IQR
ambivert.wav.tar,DLiSA-B0,2.0,3.139 (0.051),0.01
ambivert.wav.tar,DLiSA-B1,1.0,3.137 (0.032),0.01
ambivert.wav.tar,DLiSA-B2,2.0,3.139 (0.047),0.01
ambivert.wav.tar,DLiSA-B3,1.0,3.135 (0.035),0.01
ambivert.wav.tar,DLiSA-B4,1.0,3.136 (0.039),0.01
ambivert.wav.tar,DLiSA-B,2.0,3.142 (0.048),0.01
ambivert.wav.tar,DLiSA-B6,2.0,3.139 (0.032),0.04
ambivert.wav.tar,DLiSA-B7,2.0,3.145 (0.062),0.01
ambivert.wav.tar,DLiSA-B8,2.0,3.14 (0.045),0.01
ambivert.wav.tar,DLiSA-B9,2.0,3.148 (0.062),0.04
artificl.tar,DLiSA-B0,1.0,0.03 (0.0),0.0
artificl.tar,DLiSA-B1,1.0,0.03 (0.0),0.0
artificl.tar,DLiSA-B2,1.0,0.03 (0.002),0.0
artificl.tar,DLiSA-B3,1.0,0.03 (0.001),0.0
artificl.tar,DLiSA-B4,1.0,0.03 (0.0),0.0
artificl.tar,DLiSA-B,1.0,0.03 (0.001),0.0
artificl.tar,DLiSA-B6,1.0,0.03 (0.0),0.0
artificl.tar,DLiSA-B7,1.0,0.03 (0.0),0.0
artificl.tar,DLiSA-B8,1.0,0.03 (0.0),0.0
artificl.tar,DLiSA-B9,1.0,0.03 (0.0),0.0
deepfield.tar,DLiSA-B0,2.0,3.309 (0.017),0.01
deepfield.tar,DLiSA-B1,2.0,3.31 (0.022),0.01
deepfield.tar,DLiSA-B2,1.0,3.308 (0.017),0.01
deepfield.tar,DLiSA-B3,2.0,3.309 (0.017),0.01
deepfield.tar,DLiSA-B4,3.0,3.31 (0.021),0.01
deepfield.tar,DLiSA-B,3.0,3.312 (0.024),0.01
deepfield.tar,DLiSA-B6,2.0,3.309 (0.018),0.01
deepfield.tar,DLiSA-B7,3.0,3.311 (0.02),0.01
deepfield.tar,DLiSA-B8,3.0,3.312 (0.023),0.01
deepfield.tar,DLiSA-B9,3.0,3.319 (0.028),0.01
enwik8.tar,DLiSA-B0,2.0,7.158 (0.046),0.0
enwik8.tar,DLiSA-B1,1.0,7.154 (0.047),0.08
enwik8.tar,DLiSA-B2,2.0,7.161 (0.044),0.0
enwik8.tar,DLiSA-B3,2.0,7.155 (0.047),0.02
enwik8.tar,DLiSA-B4,1.0,7.152 (0.037),0.0
enwik8.tar,DLiSA-B,2.0,7.16 (0.047),0.0
enwik8.tar,DLiSA-B6,3.0,7.168 (0.09),0.0
enwik8.tar,DLiSA-B7,3.0,7.162 (0.09),0.08
enwik8.tar,DLiSA-B8,3.0,7.162 (0.049),0.0
enwik8.tar,DLiSA-B9,3.0,7.178 (0.11),0.08
fannie_mae_500k.tar,DLiSA-B0,1.0,33.435 (0.184),0.03
fannie_mae_500k.tar,DLiSA-B1,1.0,33.444 (0.214),0.03
fannie_mae_500k.tar,DLiSA-B2,1.0,33.424 (0.15),0.03
fannie_mae_500k.tar,DLiSA-B3,2.0,33.446 (0.21),0.03
fannie_mae_500k.tar,DLiSA-B4,2.0,33.484 (0.291),0.03
fannie_mae_500k.tar,DLiSA-B,2.0,33.444 (0.211),0.03
fannie_mae_500k.tar,DLiSA-B6,1.0,33.439 (0.185),0.03
fannie_mae_500k.tar,DLiSA-B7,2.0,33.462 (0.233),0.03
fannie_mae_500k.tar,DLiSA-B8,2.0,33.457 (0.234),0.03
fannie_mae_500k.tar,DLiSA-B9,2.0,33.474 (0.253),0.035
large.tar,DLiSA-B0,2.0,0.973 (0.007),0.0
large.tar,DLiSA-B1,1.0,0.972 (0.006),0.0
large.tar,DLiSA-B2,2.0,0.972 (0.006),0.0
large.tar,DLiSA-B3,1.0,0.972 (0.006),0.0
large.tar,DLiSA-B4,1.0,0.972 (0.005),0.0
large.tar,DLiSA-B,2.0,0.972 (0.006),0.0
large.tar,DLiSA-B6,2.0,0.972 (0.006),0.0
large.tar,DLiSA-B7,2.0,0.972 (0.007),0.0
large.tar,DLiSA-B8,2.0,0.973 (0.008),0.0
large.tar,DLiSA-B9,2.0,0.974 (0.007),0.01
misc.tar,DLiSA-B0,1.0,0.194 (0.005),0.01
misc.tar,DLiSA-B1,2.0,0.195 (0.005),0.01
misc.tar,DLiSA-B2,2.0,0.194 (0.005),0.01
misc.tar,DLiSA-B3,1.0,0.194 (0.005),0.01
misc.tar,DLiSA-B4,2.0,0.194 (0.005),0.01
misc.tar,DLiSA-B,3.0,0.195 (0.005),0.01
misc.tar,DLiSA-B6,2.0,0.194 (0.005),0.01
misc.tar,DLiSA-B7,2.0,0.195 (0.005),0.01
misc.tar,DLiSA-B8,3.0,0.195 (0.005),0.01
misc.tar,DLiSA-B9,3.0,0.196 (0.005),0.01
silesia.tar,DLiSA-B0,2.0,10.917 (0.03),0.01
silesia.tar,DLiSA-B1,1.0,10.914 (0.027),0.01
silesia.tar,DLiSA-B2,1.0,10.912 (0.033),0.0
silesia.tar,DLiSA-B3,1.0,10.913 (0.025),0.01
silesia.tar,DLiSA-B4,1.0,10.908 (0.02),0.0
silesia.tar,DLiSA-B,2.0,10.918 (0.03),0.05
silesia.tar,DLiSA-B6,2.0,10.917 (0.03),0.02
silesia.tar,DLiSA-B7,1.0,10.915 (0.037),0.01
silesia.tar,DLiSA-B8,2.0,10.922 (0.045),0.05
silesia.tar,DLiSA-B9,3.0,10.923 (0.048),0.05
uiq-32.bin,DLiSA-B0,1.0,9.189 (0.385),0.48
uiq-32.bin,DLiSA-B1,2.0,9.25 (0.39),0.48
uiq-32.bin,DLiSA-B2,1.0,9.181 (0.374),0.48
uiq-32.bin,DLiSA-B3,2.0,9.244 (0.383),0.48
uiq-32.bin,DLiSA-B4,1.0,9.175 (0.35),0.48
uiq-32.bin,DLiSA-B,1.0,9.168 (0.366),0.48
uiq-32.bin,DLiSA-B6,1.0,9.199 (0.36),0.48
uiq-32.bin,DLiSA-B7,2.0,9.239 (0.419),0.48
uiq-32.bin,DLiSA-B8,2.0,9.284 (0.405),0.48
uiq-32.bin,DLiSA-B9,2.0,9.313 (0.407),0.36
uiq2-16.bin,DLiSA-B0,1.0,5.356 (0.215),0.0
uiq2-16.bin,DLiSA-B1,1.0,5.378 (0.247),0.02
uiq2-16.bin,DLiSA-B2,1.0,5.372 (0.237),0.02
uiq2-16.bin,DLiSA-B3,2.0,5.403 (0.274),0.02
uiq2-16.bin,DLiSA-B4,1.0,5.38 (0.247),0.02
uiq2-16.bin,DLiSA-B,2.0,5.425 (0.287),0.08
uiq2-16.bin,DLiSA-B6,2.0,5.436 (0.309),0.08
uiq2-16.bin,DLiSA-B7,2.0,5.429 (0.305),0.02
uiq2-16.bin,DLiSA-B8,1.0,5.371 (0.24),0.02
uiq2-16.bin,DLiSA-B9,2.0,5.412 (0.282),0.08
uiq2-4.bin,DLiSA-B0,4.0,2.095 (0.027),0.01
uiq2-4.bin,DLiSA-B1,2.0,2.093 (0.025),0.01
uiq2-4.bin,DLiSA-B2,2.0,2.093 (0.025),0.01
uiq2-4.bin,DLiSA-B3,4.0,2.097 (0.029),0.02
uiq2-4.bin,DLiSA-B4,1.0,2.091 (0.021),0.01
uiq2-4.bin,DLiSA-B,3.0,2.093 (0.026),0.01
uiq2-4.bin,DLiSA-B6,3.0,2.093 (0.026),0.01
uiq2-4.bin,DLiSA-B7,4.0,2.102 (0.034),0.02
uiq2-4.bin,DLiSA-B8,4.0,2.1 (0.031),0.02
uiq2-4.bin,DLiSA-B9,4.0,2.108 (0.037),0.07
uiq2-8.bin,DLiSA-B0,1.0,3.504 (0.093),0.01
uiq2-8.bin,DLiSA-B1,1.0,3.5 (0.092),0.01
uiq2-8.bin,DLiSA-B2,2.0,3.508 (0.096),0.01
uiq2-8.bin,DLiSA-B3,2.0,3.513 (0.1),0.21
uiq2-8.bin,DLiSA-B4,2.0,3.508 (0.095),0.01
uiq2-8.bin,DLiSA-B,2.0,3.51 (0.097),0.01
uiq2-8.bin,DLiSA-B6,1.0,3.491 (0.084),0.01
uiq2-8.bin,DLiSA-B7,3.0,3.514 (0.101),0.21
uiq2-8.bin,DLiSA-B8,2.0,3.504 (0.094),0.01
uiq2-8.bin,DLiSA-B9,3.0,3.528 (0.11),0.21
vmlinux-5.10.tar,DLiSA-B0,1.0,2.532 (0.019),0.02
vmlinux-5.10.tar,DLiSA-B1,1.0,2.531 (0.019),0.02
vmlinux-5.10.tar,DLiSA-B2,2.0,2.533 (0.021),0.02
vmlinux-5.10.tar,DLiSA-B3,1.0,2.531 (0.018),0.02
vmlinux-5.10.tar,DLiSA-B4,1.0,2.529 (0.018),0.0
vmlinux-5.10.tar,DLiSA-B,2.0,2.535 (0.02),0.04
vmlinux-5.10.tar,DLiSA-B6,2.0,2.534 (0.019),0.02
vmlinux-5.10.tar,DLiSA-B7,2.0,2.533 (0.02),0.025
vmlinux-5.10.tar,DLiSA-B8,2.0,2.535 (0.021),0.04
vmlinux-5.10.tar,DLiSA-B9,1.0,2.532 (0.018),0.02
