Workload,Algorithm,r,Mean (Std),IQR
Johnny_1280x720_60_short.y4m,DLiSA-B0,1.0,0.859 (0.115),0.14
Johnny_1280x720_60_short.y4m,DLiSA-B1,1.0,0.868 (0.112),0.152
Johnny_1280x720_60_short.y4m,DLiSA-B2,2.0,0.877 (0.137),0.15
Johnny_1280x720_60_short.y4m,DLiSA-B3,1.0,0.861 (0.111),0.16
Johnny_1280x720_60_short.y4m,DLiSA-B4,2.0,0.881 (0.131),0.185
Johnny_1280x720_60_short.y4m,DLiSA-B,1.0,0.862 (0.121),0.145
Johnny_1280x720_60_short.y4m,DLiSA-B6,2.0,0.88 (0.126),0.145
Johnny_1280x720_60_short.y4m,DLiSA-B7,2.0,0.873 (0.14),0.143
Johnny_1280x720_60_short.y4m,DLiSA-B8,2.0,0.872 (0.118),0.12
Johnny_1280x720_60_short.y4m,DLiSA-B9,1.0,0.856 (0.116),0.105
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,DLiSA-B0,1.0,3.435 (0.463),0.51
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,DLiSA-B1,2.0,3.484 (0.472),0.617
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,DLiSA-B2,1.0,3.429 (0.459),0.52
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,DLiSA-B3,1.0,3.417 (0.413),0.513
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,DLiSA-B4,2.0,3.485 (0.506),0.663
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,DLiSA-B,2.0,3.478 (0.515),0.607
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,DLiSA-B6,2.0,3.546 (0.536),0.692
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,DLiSA-B7,2.0,3.489 (0.488),0.57
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,DLiSA-B8,1.0,3.44 (0.459),0.477
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,DLiSA-B9,1.0,3.415 (0.455),0.565
blue_sky_1080p25_short.y4m,DLiSA-B0,1.0,1.247 (0.198),0.213
blue_sky_1080p25_short.y4m,DLiSA-B1,2.0,1.268 (0.218),0.233
blue_sky_1080p25_short.y4m,DLiSA-B2,2.0,1.273 (0.213),0.233
blue_sky_1080p25_short.y4m,DLiSA-B3,1.0,1.247 (0.196),0.19
blue_sky_1080p25_short.y4m,DLiSA-B4,2.0,1.285 (0.234),0.245
blue_sky_1080p25_short.y4m,DLiSA-B,1.0,1.257 (0.191),0.262
blue_sky_1080p25_short.y4m,DLiSA-B6,2.0,1.289 (0.237),0.25
blue_sky_1080p25_short.y4m,DLiSA-B7,2.0,1.279 (0.224),0.23
blue_sky_1080p25_short.y4m,DLiSA-B8,1.0,1.245 (0.187),0.208
blue_sky_1080p25_short.y4m,DLiSA-B9,1.0,1.263 (0.217),0.24
pedestrian_area_1080p25_short.y4m,DLiSA-B0,1.0,1.532 (0.253),0.213
pedestrian_area_1080p25_short.y4m,DLiSA-B1,1.0,1.564 (0.289),0.24
