Workload,Algorithm,r,Mean (Std),IQR
ambivert,DLiSA-B0,1.0,1.087 (0.782),0.555
ambivert,DLiSA-B1,1.0,1.061 (0.803),0.62
ambivert,DLiSA-B2,1.0,1.107 (0.79),0.64
ambivert,DLiSA-B3,1.0,1.109 (0.809),0.61
ambivert,DLiSA-B4,1.0,1.058 (0.732),0.555
ambivert,DLiSA-B,1.0,1.145 (0.854),0.662
ambivert,DLiSA-B6,1.0,1.062 (0.782),0.53
ambivert,DLiSA-B7,1.0,1.105 (0.863),0.565
ambivert,DLiSA-B8,1.0,1.135 (0.816),0.74
ambivert,DLiSA-B9,1.0,1.192 (0.862),0.698
artificl,DLiSA-B0,1.0,0.133 (0.024),0.013
artificl,DLiSA-B1,2.0,0.137 (0.028),0.02
artificl,DLiSA-B2,2.0,0.139 (0.029),0.03
artificl,DLiSA-B3,2.0,0.137 (0.028),0.02
artificl,DLiSA-B4,1.0,0.136 (0.03),0.02
artificl,DLiSA-B,1.0,0.132 (0.023),0.01
artificl,DLiSA-B6,1.0,0.134 (0.024),0.02
artificl,DLiSA-B7,1.0,0.136 (0.027),0.02
artificl,DLiSA-B8,1.0,0.135 (0.024),0.02
artificl,DLiSA-B9,2.0,0.139 (0.027),0.02
deepfield,DLiSA-B0,2.0,0.273 (0.083),0.08
deepfield,DLiSA-B1,2.0,0.274 (0.064),0.095
deepfield,DLiSA-B2,1.0,0.268 (0.071),0.07
deepfield,DLiSA-B3,1.0,0.268 (0.072),0.08
deepfield,DLiSA-B4,1.0,0.261 (0.062),0.06
deepfield,DLiSA-B,1.0,0.266 (0.074),0.072
deepfield,DLiSA-B6,2.0,0.27 (0.098),0.07
deepfield,DLiSA-B7,1.0,0.265 (0.078),0.07
deepfield,DLiSA-B8,1.0,0.26 (0.053),0.07
deepfield,DLiSA-B9,1.0,0.253 (0.048),0.043
enwik8,DLiSA-B0,1.0,1.426 (1.193),0.75
enwik8,DLiSA-B1,1.0,1.441 (0.96),0.98
enwik8,DLiSA-B2,1.0,1.38 (0.953),0.687
enwik8,DLiSA-B3,1.0,1.524 (1.305),0.715
enwik8,DLiSA-B4,1.0,1.421 (0.992),0.965
enwik8,DLiSA-B,1.0,1.402 (1.071),0.59
enwik8,DLiSA-B6,1.0,1.37 (1.022),0.762
enwik8,DLiSA-B7,1.0,1.395 (1.03),0.905
enwik8,DLiSA-B8,1.0,1.458 (1.038),0.757
enwik8,DLiSA-B9,1.0,1.447 (0.934),0.972
fannie_mae_500k,DLiSA-B0,1.0,0.975 (0.548),0.438
fannie_mae_500k,DLiSA-B1,1.0,0.978 (0.555),0.542
fannie_mae_500k,DLiSA-B2,1.0,1.016 (0.5),0.482
fannie_mae_500k,DLiSA-B3,1.0,0.998 (0.548),0.452
fannie_mae_500k,DLiSA-B4,1.0,1.023 (0.575),0.522
fannie_mae_500k,DLiSA-B,1.0,1.036 (0.563),0.445
fannie_mae_500k,DLiSA-B6,1.0,0.89 (0.412),0.385
fannie_mae_500k,DLiSA-B7,1.0,1.005 (0.533),0.54
fannie_mae_500k,DLiSA-B8,1.0,1.004 (0.532),0.4
fannie_mae_500k,DLiSA-B9,2.0,1.09 (0.684),0.695
large,DLiSA-B0,1.0,0.421 (0.203),0.112
large,DLiSA-B1,1.0,0.433 (0.202),0.162
large,DLiSA-B2,1.0,0.446 (0.235),0.25
large,DLiSA-B3,1.0,0.443 (0.217),0.202
large,DLiSA-B4,1.0,0.416 (0.197),0.182
large,DLiSA-B,1.0,0.436 (0.22),0.173
large,DLiSA-B6,1.0,0.418 (0.213),0.172
large,DLiSA-B7,1.0,0.433 (0.226),0.225
large,DLiSA-B8,1.0,0.435 (0.212),0.132
large,DLiSA-B9,1.0,0.457 (0.252),0.192
misc,DLiSA-B0,1.0,0.176 (0.061),0.05
misc,DLiSA-B1,1.0,0.184 (0.067),0.062
misc,DLiSA-B2,1.0,0.178 (0.057),0.05
misc,DLiSA-B3,1.0,0.183 (0.064),0.06
misc,DLiSA-B4,1.0,0.182 (0.07),0.073
misc,DLiSA-B,1.0,0.186 (0.071),0.072
misc,DLiSA-B6,1.0,0.178 (0.063),0.05
misc,DLiSA-B7,1.0,0.176 (0.057),0.052
misc,DLiSA-B8,1.0,0.181 (0.066),0.06
misc,DLiSA-B9,1.0,0.188 (0.066),0.06
silesia,DLiSA-B0,1.0,2.414 (1.67),1.21
silesia,DLiSA-B1,1.0,2.465 (1.761),1.268
silesia,DLiSA-B2,1.0,2.391 (1.303),1.487
silesia,DLiSA-B3,2.0,2.633 (1.899),1.685
silesia,DLiSA-B4,2.0,2.66 (1.808),1.672
silesia,DLiSA-B,2.0,2.608 (1.683),1.602
silesia,DLiSA-B6,1.0,2.374 (1.463),1.345
silesia,DLiSA-B7,2.0,2.585 (1.728),1.41
silesia,DLiSA-B8,1.0,2.459 (1.551),1.272
silesia,DLiSA-B9,2.0,2.929 (2.512),1.443
vmlinux,DLiSA-B0,1.0,0.688 (0.5),0.325
vmlinux,DLiSA-B1,2.0,0.756 (0.555),0.393
vmlinux,DLiSA-B2,2.0,0.776 (0.584),0.395
vmlinux,DLiSA-B3,2.0,0.763 (0.542),0.395
vmlinux,DLiSA-B4,2.0,0.747 (0.528),0.445
vmlinux,DLiSA-B,2.0,0.799 (0.579),0.452
vmlinux,DLiSA-B6,2.0,0.708 (0.521),0.31
vmlinux,DLiSA-B7,2.0,0.773 (0.652),0.43
vmlinux,DLiSA-B8,3.0,0.805 (0.574),0.51
vmlinux,DLiSA-B9,3.0,0.89 (0.6),0.595
