OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,throughput
0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,9811.38715727116
0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,9811.38504759959
0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,9811.389899774287
1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,9811.39141961736
1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,9811.386071417395
1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,18093.5063202679
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9811.387477546528
0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,9811.388782832839
0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,9811.390504706802
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,13927.2319357356
0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,9811.384792651437
0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,9811.385017798097
0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,9811.390978672169
0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,12497.290936432
0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,9811.38644784056
1,1,0,1,1,1,0,0,1,0,0,1,1,1,0,0,9811.383856055087
1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,9811.384886749433
