id,8x8dct,analyse,aq-mode,aq-strength,b-adapt,bframes,cabac,chroma-qp-offset,crf,deblock,direct,fast-pskip,keyint,lookahead-threads,me,merange,mixed-refs,mbtree,nal-hrd,open-gop,profile,qcomp,qpmax,qpmin,rc-lookahead,ref,scenecut,subme,threads,trellis,weightb,weightp,EncodeTime
1320,1,p4x4,3,0.6157864219350295,1,5,0,8,38.687654164818326,2:-2,spatial,1,435,3,dia,15,1,0,cbr,1,main,0.7214316074693485,25,3,141,7,40,5,64,1,0,2,1639.4118565510987
76,0,p8x8,1,0.6295137611273145,2,0,1,9,29.58495568862226,4:4,none,0,51,0,tesa,45,0,0,none,1,baseline,0.8577477619777601,22,13,126,4,54,1,60,1,1,2,1639.4170937713573
1588,1,p8x8,2,0.6295137611273145,1,0,1,-1,29.58495568862226,4:4,spatial,0,51,0,tesa,45,0,1,none,0,baseline,0.5966424120940658,22,13,242,7,67,0,42,0,1,1,1639.4112574205456
76,0,p8x8,1,0.6295137611273145,2,0,1,9,29.58495568862226,4:4,spatial,0,51,0,dia,54,0,1,none,0,baseline,0.6493532546000097,48,4,92,2,80,0,2,0,0,0,11.56
76,0,p8x8,1,0.6295137611273145,2,0,1,-5,30.75302353903412,0:0,spatial,1,51,1,dia,54,0,1,none,0,high,0.3634440361832308,42,8,140,6,59,11,43,2,0,1,1639.4113478076924
1994,1,p4x4,2,1.55857211218537,1,12,0,0,44.70616914544182,-6:6,auto,0,454,4,dia,59,0,1,vbr,1,baseline,0.184274686721981,25,16,96,2,51,4,5,1,0,1,17.67
1331,1,p4x4,3,0.6157864219350295,2,8,1,0,44.70616914544182,-1:1,auto,1,481,4,dia,15,0,1,none,1,baseline,0.184274686721981,30,16,9,2,51,1,5,0,0,1,5.34
1331,1,p4x4,3,0.4406183091194016,0,8,1,0,44.70616914544182,-6:6,auto,0,435,4,dia,15,0,1,cbr,1,baseline,0.184274686721981,30,16,96,2,51,1,5,0,1,1,24.16
1320,1,p8x8,3,0.6157864219350295,1,8,1,0,44.70616914544182,-6:6,auto,1,435,4,dia,15,0,1,none,1,baseline,0.184274686721981,49,16,96,2,51,1,5,0,1,1,15.41
1331,1,p4x4,3,0.6157864219350295,2,8,1,0,44.70616914544182,-6:6,auto,0,435,4,dia,15,0,1,none,1,baseline,0.184274686721981,30,16,96,2,51,1,53,0,1,2,24.16
1331,1,all,3,0.6157864219350295,1,12,0,0,44.70616914544182,-6:6,spatial,0,435,4,dia,15,1,1,cbr,0,baseline,0.6493532546000097,48,16,96,2,99,3,5,0,1,0,50.41
1320,1,p4x4,3,0.6157864219350295,1,12,0,-9,44.70616914544182,-6:6,auto,0,435,4,dia,15,0,1,none,1,baseline,0.184274686721981,30,16,48,2,51,1,5,0,1,1,7.28
1320,1,p8x8,2,0.6157864219350295,1,8,1,0,40.02961767606761,2:-2,spatial,0,331,4,dia,15,1,1,none,0,high,0.6493532546000097,48,16,8,2,80,0,2,2,0,1,11.1
1320,1,p4x4,3,1.8145441599040564,1,8,1,0,44.70616914544182,-6:6,auto,0,378,4,dia,15,0,1,none,0,main,0.184274686721981,32,16,203,2,50,1,5,0,0,1,11.1
1320,1,p4x4,3,0.6157864219350295,1,12,0,-6,40.02961767606761,0:0,auto,0,435,4,dia,15,1,1,none,1,high,0.6493532546000097,48,16,8,2,80,0,2,2,0,1,11.1
1320,1,p4x4,3,1.8145441599040564,1,8,1,0,44.70616914544182,-6:6,auto,1,378,4,dia,15,0,1,none,1,baseline,0.184274686721981,30,16,96,2,51,1,5,0,0,1,5.34
1320,0,p4x4,3,1.8145441599040564,1,12,1,0,44.70616914544182,-5:5,auto,1,378,4,dia,15,0,1,none,1,baseline,0.184274686721981,32,16,203,2,99,10,5,0,0,0,5.34
1331,1,p4x4,3,0.6157864219350295,2,12,0,0,44.70616914544182,6:6,spatial,1,435,3,dia,15,0,0,none,1,baseline,0.184274686721981,30,16,96,2,51,1,59,0,0,1,11.89
1331,1,p4x4,3,0.6157864219350295,1,8,1,0,44.70616914544182,2:-2,auto,0,435,4,dia,15,1,1,none,1,high,0.6493532546000097,48,16,8,6,80,0,2,0,0,1,8.22
1994,1,p4x4,3,0.6157864219350295,2,8,0,0,44.70616914544182,-6:6,temporal,1,435,4,dia,15,0,1,none,1,baseline,0.184274686721981,30,16,185,2,51,1,5,0,0,2,9.98
1331,0,p4x4,1,0.6157864219350295,1,8,0,0,44.70616914544182,5:5,auto,1,444,4,dia,15,1,1,none,1,baseline,0.184274686721981,21,16,189,2,51,1,6,0,0,1,9.98
1320,1,p4x4,1,0.6157864219350295,2,4,0,0,44.70616914544182,-3:3,spatial,0,435,4,dia,15,1,1,none,1,high,0.6493532546000097,48,16,8,9,80,0,2,0,0,2,53.12
1320,1,p8x8,3,0.6157864219350295,1,8,0,0,16.656225090090253,-6:6,auto,0,321,4,dia,15,0,1,none,1,baseline,0.184274686721981,30,16,96,2,51,1,5,0,0,1,17.67
1331,1,p4x4,0,0.6157864219350295,0,12,0,0,44.70616914544182,-2:2,auto,0,435,4,dia,20,0,1,vbr,1,baseline,0.184274686721981,30,16,96,2,51,1,5,0,1,1,32.38
1331,1,p4x4,3,0.1017196041069332,0,8,1,0,44.70616914544182,-6:6,spatial,0,435,4,dia,15,1,1,none,1,baseline,0.6493532546000097,48,19,96,2,99,1,5,0,0,0,8.41
1331,1,p4x4,3,0.6157864219350295,1,10,1,0,44.70616914544182,-6:6,auto,1,348,4,dia,15,0,1,vbr,1,baseline,0.184274686721981,34,6,96,8,51,1,5,1,0,0,10.9
744,1,p4x4,3,1.8145441599040564,1,0,1,0,44.70616914544182,-6:6,auto,0,378,4,dia,15,0,1,none,0,baseline,0.6590637938282828,32,16,203,2,50,1,5,0,0,1,11.1
748,1,all,3,0.6157864219350295,1,8,1,0,44.70616914544182,-6:6,auto,0,435,4,dia,15,0,1,none,1,baseline,0.184274686721981,30,15,54,2,51,1,19,0,0,2,16.45
1331,1,p4x4,1,0.6157864219350295,2,4,0,0,44.70616914544182,5:5,none,0,435,4,dia,15,1,1,none,0,high,0.6493532546000097,48,16,8,9,80,0,2,0,0,1,36.4
1320,1,p4x4,2,1.8145441599040564,1,14,1,-7,19.525258721275065,-6:6,auto,1,378,4,dia,15,0,1,none,1,main,0.184274686721981,34,16,96,2,51,1,5,1,0,2,5.34
1331,1,p4x4,3,0.6157864219350295,1,16,1,10,44.70616914544182,-6:6,auto,1,356,1,dia,53,0,0,none,0,baseline,0.184274686721981,41,16,203,2,50,1,5,0,0,1,13.53
1320,1,all,0,0.6157864219350295,1,8,0,0,44.70616914544182,-6:6,auto,0,479,4,dia,15,0,0,none,1,baseline,0.184274686721981,30,16,96,2,51,1,53,0,1,2,24.16
1331,0,p4x4,3,1.8145441599040564,2,12,1,0,44.70616914544182,-5:5,auto,0,378,4,dia,15,0,1,none,1,baseline,0.184274686721981,32,16,203,2,69,10,5,0,0,0,123.3
1655,1,p4x4,3,0.6157864219350295,1,10,1,-1,44.70616914544182,-6:6,auto,0,435,4,umh,4,0,1,none,1,baseline,0.4529573131075981,37,2,96,2,51,1,5,2,1,1,22.09
1331,1,p4x4,1,0.6157864219350295,0,7,1,0,44.70616914544182,-6:6,auto,0,435,4,dia,15,0,1,none,1,baseline,0.5914019256857398,30,16,96,2,51,1,5,0,0,1,29.85
1320,1,p4x4,3,1.8145441599040564,1,15,1,0,44.70616914544182,-6:6,auto,1,378,4,dia,15,0,1,none,0,baseline,0.184274686721981,30,16,96,2,51,4,5,1,0,1,5.34
128,1,p4x4,2,1.55857211218537,2,12,0,0,44.70616914544182,-6:6,auto,0,454,4,dia,15,0,1,none,1,baseline,0.184274686721981,32,16,203,2,50,1,5,0,0,1,5.34
1331,1,p4x4,1,0.6157864219350295,1,8,1,0,44.70616914544182,-6:6,auto,0,435,4,dia,15,0,1,none,1,baseline,0.184274686721981,21,16,96,2,51,1,5,0,1,1,22.09
1320,1,p4x4,3,1.8145441599040564,2,8,1,0,44.70616914544182,-6:6,auto,1,378,4,tesa,15,0,1,none,0,baseline,0.7233428816940903,32,16,203,2,50,1,5,0,1,0,7.78
