NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,weight,selected
0,0,0,1,0,1,1,0,0,1,0,0,0,22,160,0,1.88,1
0,0,1,0,0,0,0,0,1,1,0,1,1,8,8,2,2.555556,1
0,0,0,1,0,1,1,0,0,1,0,0,0,44,160,0,1.4,1
1,1,1,0,0,1,0,0,0,1,1,0,0,22,160,0,2.257143,1
0,1,0,0,1,0,0,0,0,0,0,0,0,22,8,0,1.88,1
1,0,1,0,0,0,0,0,1,1,0,1,1,22,8,2,1.4,1
1,0,0,0,0,1,0,0,0,1,1,1,1,22,160,0,1.7,1
0,1,0,0,0,0,0,1,0,0,0,0,0,44,8,2,1.4,1
0,1,0,0,0,0,0,0,1,0,0,0,0,44,8,2,1.4,1
0,0,1,1,0,1,0,0,0,0,1,0,0,44,160,0,1.4,1
1,0,1,0,0,0,0,0,1,1,0,1,1,8,8,2,2.3,1
1,0,0,0,0,0,0,0,1,1,0,1,1,8,8,2,2.0,1
0,1,0,0,0,0,1,0,0,0,0,0,0,8,8,0,1.8,1
1,0,1,0,0,0,0,0,1,1,0,1,1,8,8,0,1.8,1
0,1,0,0,0,0,1,0,0,1,0,0,0,8,8,0,1.8,1
0,0,0,1,0,0,0,0,0,0,1,0,0,22,8,2,1.8,1
1,0,0,0,0,0,0,0,1,1,0,1,1,8,8,1,1.4,1
1,0,1,0,0,0,0,0,1,1,0,1,1,8,8,1,1.4,1
